IPR	description	ERR2985255	ERR2985256	ERR2985257	ERR2985258	ERR2985259	ERR2985260	ERR2985261	ERR2985262	ERR2985263	ERR2985264	ERR2985265	ERR2985266	ERR2985267	ERR2985268	ERR2985269	ERR2985270	ERR2985271	ERR2985272	ERR2985273	ERR2985274	ERR2985275	ERR2985276	ERR2985277	ERR2985278
IPR002041	Ran GTPase	1	30	9	8	3	5	13	32	6	1	2	6	7	6	0	10	8	11	4	10	45	12	4	33
IPR002042	Uricase	14	6	7	4	7	2	16	5	14	8	1	18	19	9	4	2	3	2	0	27	5	10	4	1
IPR002044	Carbohydrate binding module family 20	26	32	24	17	16	30	14	31	24	9	36	26	47	16	9	12	14	19	41	42	42	26	11	43
IPR002047	Adipokinetic hormone, conserved site	0	1	0	12	1	0	1	1	0	1	0	1	0	0	2	1	14	0	0	0	1	0	1	0
IPR002048	EF-hand domain	304	537	595	453	592	346	739	591	406	491	279	494	664	346	239	570	414	733	668	809	1602	962	289	1888
IPR002049	Laminin EGF domain	5	14	2	17	10	6	9	18	13	7	5	3	17	10	4	9	11	6	16	23	13	13	3	30
IPR002051	Haem oxygenase	0	2	1	0	1	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0
IPR002052	DNA methylase, N-6 adenine-specific, conserved site	6786	8720	10505	14466	13548	10805	8463	9108	8695	12472	9599	9709	4870	7412	10860	9588	13264	8149	7528	5474	8074	9597	12276	9069
IPR002053	Glycoside hydrolase, family 25	240	973	124	234	520	318	192	1108	247	462	288	294	187	238	304	75	225	164	149	205	150	251	316	188
IPR002056	Protein import receptor MAS20	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
IPR002057	Isopenicillin N synthase, conserved site	10	10	1	3	1	2	3	8	2	2	3	3	2	4	3	0	1	0	5	6	1	5	0	0
IPR002058	PAP/25A-associated	0	2	9	5	0	2	4	5	0	4	4	1	1	1	2	5	3	3	4	3	4	6	6	3
IPR002059	Cold-shock protein, DNA-binding	843	1166	652	457	510	682	824	1245	571	462	604	632	1234	943	473	587	406	1174	1087	1385	913	938	545	931
IPR002060	Squalene/phytoene synthase	829	1034	2542	369	664	817	848	1073	738	624	690	847	1702	938	382	2299	354	1803	1538	1893	738	950	457	813
IPR002061	Scorpion long chain toxin/defensin	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002067	Mitochondrial carrier protein	4	15	5	7	4	6	17	14	5	4	7	15	11	9	7	17	12	22	20	20	41	18	5	51
IPR002068	Alpha crystallin/Hsp20 domain	1251	861	756	374	573	616	772	887	703	517	557	794	1183	1338	574	673	313	518	465	1293	577	852	616	626
IPR002071	Thermonuclease active site	142	109	195	85	125	130	161	125	118	93	105	145	99	157	69	180	64	78	82	91	60	158	81	89
IPR002072	Nerve growth factor-related	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0
IPR002073	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	31	149	189	60	69	46	126	175	62	51	43	67	118	36	54	175	70	61	58	155	176	129	72	177
IPR002074	Somatostatin receptor 2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002075	Nuclear transport factor 2	8	6	5	3	1	7	7	9	6	4	5	6	5	0	2	7	3	5	4	12	18	11	4	19
IPR002076	ELO family	1	11	8	15	9	3	8	18	7	5	3	5	19	2	10	5	6	10	9	19	5	8	8	4
IPR002078	RNA polymerase sigma factor 54 interaction domain	4806	6076	7969	3332	3481	4532	4784	6421	4452	3226	4172	4920	14460	5105	3379	7439	3057	12144	11331	15852	6404	5116	3584	6900
IPR002079	Gag polyprotein, inner coat protein p12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002081	Cryptochrome/DNA photolyase class 1	193	370	449	153	110	209	174	386	149	142	202	186	362	242	81	381	134	352	299	381	271	179	102	260
IPR002082	Aspartate carbamoyltransferase	55	62	75	38	24	45	51	54	52	22	37	59	58	63	27	46	37	60	47	71	31	67	29	52
IPR002083	MATH/TRAF domain	0	1	0	0	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	0
IPR002084	Methionine repressor MetJ	5	5	0	13	5	7	5	6	2	3	10	2	9	4	1	2	16	18	17	6	14	5	5	14
IPR002087	Anti-proliferative protein	1	2	2	0	0	1	1	3	0	0	1	0	3	0	1	2	0	0	0	2	0	0	5	0
IPR002088	Protein prenyltransferase, alpha subunit	4	13	11	7	3	9	8	8	3	1	10	2	13	1	3	12	7	5	7	9	14	12	4	15
IPR002090	Na+/H+ exchanger, isoform 6 (NHE6)	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
IPR002092	DNA-directed RNA polymerase, phage-type	86	223	256	900	328	426	267	223	124	296	364	119	45	87	334	215	838	356	355	46	314	304	430	402
IPR002093	BRCA2 repeat	0	3	1	0	1	0	1	1	0	0	0	4	2	0	8	1	0	1	2	0	0	2	1	0
IPR002100	Transcription factor, MADS-box	3	6	10	9	7	1	9	4	4	12	3	10	7	2	5	7	7	3	3	9	15	2	5	14
IPR002101	Myristoylated alanine-rich C-kinase substrate MARCKS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002102	Cellulosome anchoring protein, cohesin domain	52	36	12	22	22	20	34	31	20	13	16	37	62	88	26	12	15	11	5	83	27	33	35	22
IPR002104	Integrase, catalytic domain	6161	7679	5482	9794	7114	8217	6686	8467	6039	6426	7226	7037	7654	6872	6636	4775	8706	5907	5283	9058	7062	7487	7336	8155
IPR002105	Dockerin type I repeat	105	63	36	26	23	47	57	80	62	35	62	56	89	123	48	28	24	21	20	131	28	53	32	35
IPR002108	Actin-depolymerising factor homology domain	6	8	17	12	4	10	9	7	6	3	10	8	13	5	1	23	4	10	7	5	13	19	5	18
IPR002109	Glutaredoxin	1224	950	1367	623	1003	808	1054	1085	881	882	736	901	1253	1287	574	1270	567	1271	1057	1538	991	1115	756	1086
IPR002110	Ankyrin repeat	271	878	624	423	357	374	687	900	292	315	312	304	707	294	311	591	357	400	409	869	709	749	335	727
IPR002112	Transcription factor Jun	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0
IPR002113	Adenine nucleotide translocator 1	1	6	9	10	2	5	7	2	9	1	4	5	12	2	3	5	5	9	5	6	29	12	4	43
IPR002114	Phosphotransferase system, HPr serine phosphorylation site	59	99	222	64	74	89	87	105	76	65	55	91	136	87	48	225	60	152	183	170	114	88	46	111
IPR002115	Protein-tyrosine phosphatase, low molecular weight, mammalian	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
IPR002116	Melittin/ Api allergen	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002117	p53 tumour suppressor family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
IPR002119	Histone H2A	11	31	54	22	35	18	56	46	14	27	11	24	53	13	12	49	26	63	69	68	75	79	24	100
IPR002120	Thyrotropin-releasing hormone receptor	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002121	HRDC domain	573	623	668	369	325	477	458	661	453	308	426	515	985	594	253	643	353	713	640	1059	624	504	293	652
IPR002123	Phospholipid/glycerol acyltransferase	1154	1834	1888	945	910	1089	1340	2030	1392	764	948	1539	1997	1251	617	1706	855	1930	1690	2346	1739	1599	694	1992
IPR002124	Cytochrome c oxidase, subunit Vb	0	6	5	3	2	1	6	8	3	0	2	5	5	6	2	5	5	2	2	1	4	5	2	11
IPR002125	Cytidine and deoxycytidylate deaminase domain	1653	1843	1279	1491	1438	1555	1231	1933	1198	1321	1474	1309	1419	1792	1485	1103	1350	1645	1526	1624	1289	1345	1658	1424
IPR002126	Cadherin	48	28	45	26	16	44	35	44	29	8	19	34	130	32	31	31	30	41	32	175	94	64	41	130
IPR002128	NADH:ubiquinone/plastoquinone oxidoreductase, chloroplast chain 5, C-terminal	10	12	24	10	11	1	5	16	4	4	2	9	34	10	3	18	4	7	14	39	7	12	6	7
IPR002129	Pyridoxal phosphate-dependent decarboxylase	362	524	163	276	217	321	424	568	471	225	340	528	794	416	244	155	246	195	190	905	380	436	267	434
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	2647	2651	2915	1344	1187	1574	1933	2804	1913	1090	1397	2187	3278	2821	1110	2716	1229	2362	2182	3659	2306	2023	1278	2493
IPR002131	Glycoprotein hormone receptor family	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IPR002136	Ribosomal protein L4/L1e	2127	1560	1651	664	695	968	1389	1640	1147	636	879	1282	1681	2456	875	1533	634	1338	1217	1861	1226	1542	943	1423
IPR002137	Beta-lactamase, class-D active site	47	48	93	31	33	52	48	57	51	30	45	46	62	44	32	77	27	144	137	69	64	59	30	69
IPR002139	Ribokinase/fructokinase	13	35	14	21	13	26	38	36	19	10	22	22	39	18	13	13	15	29	14	44	33	31	14	53
IPR002142	Peptidase S49	1674	1926	1989	2902	2638	1844	1584	2048	1768	2418	1719	2051	1915	1840	2404	1784	2637	2766	2356	2103	1925	1688	2753	2176
IPR002145	Ribbon-helix-helix protein, CopG	391	528	933	720	881	446	564	553	563	827	431	595	424	421	545	877	692	334	355	532	705	597	566	702
IPR002146	ATP synthase, F0 complex, subunit b/b', bacterial/chloroplast	542	446	442	220	197	264	301	497	279	211	232	322	509	564	204	385	215	473	488	569	412	371	228	445
IPR002150	Ribosomal protein L31	1271	819	745	361	435	539	759	881	674	367	496	708	860	1311	502	666	354	550	492	1037	604	875	517	642
IPR002151	Kinesin light chain	0	1	0	2	0	0	0	0	2	0	0	2	2	3	1	1	0	5	1	3	0	0	0	0
IPR002152	Glycoside hydrolase, family 23	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
IPR002153	Transient receptor potential channel, canonical	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
IPR002154	Neuregulin, C-terminal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
IPR002156	Ribonuclease H domain	1528	1589	1494	895	1151	1013	1139	1757	898	1034	891	965	1281	1689	1097	1404	849	1359	1239	1451	1141	1274	1188	1265
IPR002157	Cobalamin (vitamin B12)-binding transporter, eukaryotic	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0
IPR002159	CD36 family	1	2	3	4	3	1	1	1	3	0	1	0	6	1	2	3	2	1	1	10	4	0	1	3
IPR002160	Proteinase inhibitor I3, Kunitz legume	16	18	2	10	16	20	10	14	7	9	8	13	20	16	5	8	7	10	9	14	9	7	10	8
IPR002161	Pyridoxal 5'-phosphate synthase subunit PdxT/SNO	159	200	47	123	93	127	173	224	175	75	111	180	237	161	82	33	95	96	89	243	142	193	106	162
IPR002164	Nucleosome assembly protein (NAP)	3	7	25	8	6	10	20	17	5	5	12	9	19	3	9	21	18	15	21	19	46	18	9	77
IPR002165	Plexin repeat	0	1	6	2	1	1	1	3	4	0	1	2	8	2	3	6	1	0	0	6	6	2	0	3
IPR002168	Lipase, GDXG, putative histidine active site	73	129	272	68	63	99	88	102	98	73	88	98	129	74	36	180	63	121	121	158	104	124	42	124
IPR002169	Peptidase M9A/M9B, collagenase, bacterial	7	29	11	8	3	28	3	28	7	2	18	6	15	9	8	7	8	13	11	16	13	3	9	11
IPR002172	Low-density lipoprotein (LDL) receptor class A repeat	5	5	6	11	7	4	7	11	6	7	6	9	41	7	15	2	23	9	10	46	13	15	11	15
IPR002173	Carbohydrate/puine kinase, PfkB, conserved site	518	719	864	435	330	542	636	792	436	302	470	507	782	594	285	796	401	760	669	871	710	683	324	803
IPR002175	Endothelin receptor A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IPR002176	Crossover junction endodeoxyribonuclease RuvC	2027	1489	1382	715	688	1038	1439	1633	1179	642	955	1329	1683	2260	764	1249	671	1513	1375	1870	1130	1619	834	1233
IPR002177	DNA-binding protein Dps	32	55	112	47	39	39	41	59	55	15	39	42	76	40	34	90	53	58	42	90	45	51	29	41
IPR002178	PTS EIIA type-2 domain	332	421	856	494	291	375	388	473	329	262	361	391	633	350	185	823	456	720	652	715	507	416	231	519
IPR002180	Lumazine/riboflavin synthase	836	1024	1331	570	508	687	715	1096	674	440	611	743	1419	873	391	1121	542	1423	1327	1624	945	833	409	982
IPR002181	Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain	33	36	20	19	14	15	39	44	37	10	16	28	49	36	23	6	23	9	5	94	51	28	21	52
IPR002182	NB-ARC	16	24	12	15	9	9	14	13	12	9	10	10	36	27	4	8	21	10	3	54	6	20	11	10
IPR002186	Neocarzinostatin family	10	17	1	0	4	9	13	21	8	2	7	18	20	10	4	0	1	0	1	23	1	18	7	0
IPR002187	Nitrogen regulatory protein PII	681	940	1740	497	531	636	679	952	645	506	636	714	1553	728	358	1637	527	1622	1544	1732	1058	756	427	1143
IPR002189	F-actin-capping protein subunit alpha	0	9	14	4	2	2	8	12	2	2	2	1	8	2	0	13	1	5	1	15	11	11	0	12
IPR002190	MAGE homology domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IPR002191	Bacterial export protein family 3	138	177	69	123	73	139	175	175	155	77	118	159	385	146	111	54	99	154	105	388	200	158	89	239
IPR002192	Pyruvate phosphate dikinase, PEP/pyruvate-binding	2586	2149	2585	1250	1573	1455	2016	2364	1943	1442	1288	2126	3059	2732	1195	2359	1170	4045	3682	3522	2352	2242	1264	2568
IPR002194	Chaperonin TCP-1, conserved site	46	155	75	61	26	31	93	148	44	18	23	53	82	32	21	67	53	63	46	84	144	107	14	165
IPR002195	Dihydroorotase, conserved site	442	461	679	221	274	330	363	512	348	255	318	431	607	412	238	711	255	683	577	662	445	408	265	495
IPR002196	Glycoside hydrolase, family 24	750	1017	1142	2138	3169	1338	973	1089	1411	2991	1160	1588	133	856	1745	998	2108	1210	1067	185	1095	1133	1894	1158
IPR002197	DNA binding HTH domain,  Fis-type	1379	1678	2644	1142	1129	1601	1391	1774	1241	1099	1394	1328	3765	1494	969	2412	1021	3008	2695	4264	1739	1527	1013	1852
IPR002200	Elicitin	1	4	0	2	0	2	3	1	0	0	1	0	3	1	12	1	0	0	1	1	2	2	17	2
IPR002201	Glycosyl transferase, family 9	849	1020	1503	743	646	822	941	1079	832	566	698	958	1189	913	513	1387	667	2232	2077	1312	771	1029	557	871
IPR002202	Hydroxymethylglutaryl-CoA reductase, class I/II	399	625	219	216	197	275	328	638	300	192	239	364	849	421	201	194	188	190	176	939	390	335	222	436
IPR002204	3-hydroxyisobutyrate dehydrogenase-related, conserved site	152	179	312	92	90	165	132	171	139	65	143	152	341	130	66	304	95	289	250	367	232	164	86	214
IPR002205	DNA topoisomerase, type IIA, subunit A/C-terminal	10510	8321	7327	3727	3690	5304	6952	8868	6107	3414	4804	6673	8086	11399	4426	6673	3454	7317	6708	9196	5816	7600	4867	6426
IPR002207	Plant ascorbate peroxidase	3	3	4	1	9	2	0	4	2	6	2	1	6	0	4	5	3	1	1	7	3	1	2	0
IPR002208	SecY/SEC61-alpha family	5554	3501	2770	1578	1598	2265	3293	3651	2899	1500	2015	3181	3784	5989	2088	2602	1494	2668	2506	4397	2309	3449	2305	2553
IPR002209	Fibroblast growth factor family	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	2
IPR002210	Major capsid L1 (late) protein, Papillomavirus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0
IPR002211	Lymphocyte-specific protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase	23	46	20	17	32	19	45	57	20	16	29	35	60	31	20	14	22	13	4	65	28	59	28	38
IPR002218	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG-related	1948	3112	4044	1599	1501	2222	2113	3247	1801	1398	2049	1974	3851	2073	1249	3803	1476	4469	4144	4236	2790	2309	1342	2997
IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	0	2	0	1	1	0	5	5	1	1	2	1	2	0	0	1	0	4	4	5	0	0	1	6
IPR002220	DapA-like	1343	1987	3106	1174	1008	1520	1417	2132	1348	953	1412	1523	2610	1445	822	2888	1074	2726	2567	2945	1884	1576	870	2077
IPR002222	Ribosomal protein S19/S15	1580	1085	922	477	511	688	1024	1155	911	442	585	979	1152	1728	639	846	428	816	720	1330	796	1199	720	826
IPR002223	Pancreatic trypsin inhibitor Kunitz domain	8	4	3	5	3	3	0	3	5	0	1	12	14	14	6	2	3	4	5	22	5	3	6	7
IPR002225	3-beta hydroxysteroid dehydrogenase/isomerase	337	359	143	181	142	279	319	415	314	153	231	314	640	393	153	147	158	186	145	768	382	301	188	396
IPR002226	Catalase haem-binding site	28	59	40	46	29	71	40	60	29	32	65	59	103	37	41	31	38	82	82	127	80	34	42	84
IPR002227	Tyrosinase copper-binding domain	34	29	15	37	17	66	34	21	25	21	66	33	68	38	30	19	30	13	16	95	18	34	37	30
IPR002229	Blood group Rhesus C/E/D polypeptide	4	6	13	3	3	3	21	9	3	3	2	7	16	5	2	8	7	13	7	25	40	22	6	52
IPR002230	Cannabinoid receptor family	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002235	CXC chemokine receptor 6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IPR002241	Glycoside hydrolase, family 27	63	96	35	85	50	188	84	108	110	49	162	128	144	67	82	37	55	144	130	174	106	105	82	120
IPR002249	Chloride channel ClC-7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002252	Glycoside hydrolase family 36	274	536	1600	390	348	383	537	579	308	301	358	364	404	279	206	1473	337	576	529	450	670	591	213	699
IPR002253	Flavin monooxygenase (FMO) 1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002259	Equilibrative nucleoside transporter	0	4	1	1	3	3	1	6	0	3	1	4	2	0	0	5	0	1	1	4	5	0	1	8
IPR002261	Gap junction alpha-1 protein (Cx43)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IPR002265	Gap junction alpha-6 protein (Cx45)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IPR002270	Gap junction beta-4 protein (Cx31.1)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002288	DNA gyrase B subunit, C-terminal	1471	1146	1556	563	575	792	1091	1167	854	493	678	938	1245	1583	617	1378	581	1215	1138	1452	875	1149	676	1027
IPR002291	Phosphorylase kinase, gamma catalytic subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
IPR002292	Ornithine/putrescine carbamoyltransferase	53	60	137	40	32	62	47	62	60	32	53	75	88	70	42	123	46	159	103	103	53	54	42	73
IPR002293	Amino acid/polyamine transporter I	212	331	154	188	142	285	236	437	241	122	296	316	707	252	129	144	147	218	135	831	308	297	151	340
IPR002295	N6 adenine-specific DNA methyltransferase, D21 class	1780	1891	2018	4541	4016	2987	2066	1924	2364	3586	2610	2694	526	1943	3079	1900	4140	2107	1805	568	1815	2275	3580	2077
IPR002298	DNA polymerase A	2209	1769	1490	1216	1069	1284	1575	1903	1321	970	1156	1386	1718	2409	1115	1343	1065	1487	1337	1925	1182	1756	1341	1321
IPR002299	Porin, Neisseria sp. type	2	1	13	3	1	0	4	6	2	2	1	2	7	0	2	8	0	8	7	10	1	2	3	2
IPR002300	Aminoacyl-tRNA synthetase, class Ia	20679	14063	11348	6489	6516	8510	12934	15049	10939	5919	7948	12030	14795	22233	7794	10367	6051	11922	11063	16734	9177	14239	8675	10293
IPR002301	Isoleucine-tRNA ligase	22	24	30	20	11	9	20	18	11	7	6	26	25	17	10	17	19	30	35	34	14	16	14	18
IPR002302	Leucine-tRNA ligase	905	676	454	318	261	430	574	741	465	229	370	557	708	993	349	417	261	477	453	782	392	618	442	481
IPR002303	Valine-tRNA ligase	253	146	116	70	82	83	136	172	126	76	74	127	164	295	98	105	65	112	89	167	73	162	100	93
IPR002305	Aminoacyl-tRNA synthetase, class Ic	7042	5351	3831	2377	2325	3286	4674	5743	3917	2129	3019	4349	5433	7566	2805	3525	2145	3643	3420	6113	3381	5094	3039	3762
IPR002306	Tryptophan-tRNA ligase	5	4	3	1	1	1	4	2	0	2	2	3	3	6	1	3	1	15	8	0	5	2	1	5
IPR002307	Tyrosine-tRNA ligase	453	356	329	153	193	242	308	397	254	178	233	304	372	564	182	310	175	298	288	410	262	360	227	264
IPR002310	Glycine-tRNA ligase, alpha subunit	743	1125	2326	724	638	812	908	1176	805	589	744	868	1769	832	450	2230	707	2264	2101	1932	1396	996	485	1458
IPR002312	Aspartyl/Asparaginyl-tRNA synthetase, class IIb	484	333	287	146	166	208	333	388	282	150	196	333	356	556	160	247	130	292	294	441	226	348	224	273
IPR002314	Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)	3222	2303	2417	1158	1146	1387	2153	2523	1886	983	1188	2045	2456	3568	1270	2069	972	2111	1882	2881	1682	2297	1357	1853
IPR002315	Glycyl-tRNA synthetase	969	621	151	226	239	332	564	576	496	242	306	475	490	1056	382	148	205	142	120	562	272	570	398	308
IPR002316	Proline-tRNA ligase, class IIa	137	222	360	115	107	118	167	221	146	88	92	142	230	167	86	297	121	316	325	290	251	163	76	248
IPR002317	Serine-tRNA ligase, type1	1591	1001	820	499	414	538	929	1169	811	400	525	928	1020	1618	570	722	397	794	799	1173	657	979	592	730
IPR002318	Alanine-tRNA ligase, class IIc	554	450	410	260	187	269	386	523	311	192	234	341	520	641	254	370	206	423	378	601	322	412	235	359
IPR002319	Phenylalanyl-tRNA synthetase	4584	3143	2258	1436	1555	1893	2818	3352	2359	1373	1862	2630	3361	4895	1760	2140	1314	2059	1957	3648	1988	3023	1915	2169
IPR002320	Threonine-tRNA ligase, class IIa	742	459	326	234	178	286	398	446	364	148	245	431	496	725	290	320	211	358	342	590	336	451	313	385
IPR002321	Cytochrome c, class II	132	163	246	75	87	158	95	176	139	76	163	153	279	154	77	219	67	765	716	313	218	129	90	291
IPR002322	Cytochrome c, class III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
IPR002323	Cytochrome c, class IE	39	55	69	25	37	32	34	63	45	34	35	48	147	50	19	67	31	172	143	201	123	55	24	134
IPR002324	Cytochrome c, class ID	138	167	496	109	140	243	176	205	133	110	226	156	588	167	68	442	90	572	516	633	252	206	77	303
IPR002325	Cytochrome f	7	6	0	0	19	2	3	7	3	16	3	2	8	7	0	0	0	0	0	7	0	6	0	0
IPR002326	Cytochrome c1	118	197	483	114	122	191	177	234	125	120	156	129	351	143	106	402	142	317	259	383	248	163	122	276
IPR002327	Cytochrome c, class IA/ IB	31	46	29	25	11	60	56	59	21	20	56	21	94	27	8	23	20	35	23	94	55	64	25	73
IPR002328	Alcohol dehydrogenase, zinc-type, conserved site	312	532	567	290	249	391	483	600	373	289	388	445	883	344	260	534	235	372	291	975	527	502	262	630
IPR002331	Pancreatic lipase	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IPR002332	Nitrogen regulatory protein P-II, urydylation site	212	327	728	180	202	203	227	325	193	157	220	248	472	243	92	584	159	636	552	617	343	258	148	456
IPR002337	Haemoglobin, beta-type	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
IPR002343	Paraneoplastic encephalomyelitis antigen	1	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	0	1
IPR002344	Lupus La protein	1	0	0	1	0	0	1	1	2	0	0	0	1	0	0	1	0	0	1	0	2	1	1	0
IPR002346	Molybdopterin dehydrogenase, FAD-binding	546	1006	977	371	390	635	677	1043	518	360	616	615	1438	572	298	952	354	871	750	1633	859	733	349	956
IPR002347	Short-chain dehydrogenase/reductase SDR	9056	13216	16908	7158	7207	11214	11243	14264	10584	6397	9878	11935	21785	10050	5407	15519	6652	13325	12101	25283	13343	12496	5890	14918
IPR002350	Kazal domain	59	55	28	54	25	44	43	73	33	29	33	46	99	67	35	31	49	20	7	142	46	58	40	71
IPR002352	Eosinophil major basic protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
IPR002354	Interleukin-4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002355	Multicopper oxidase, copper-binding site	177	261	564	132	159	193	198	290	163	144	167	187	406	200	109	529	110	259	209	447	272	246	112	324
IPR002358	Ribosomal protein L6, conserved site	499	455	431	216	259	276	390	457	314	241	237	333	430	585	272	390	211	354	315	445	362	405	292	381
IPR002359	Ribosomal protein L6, conserved site-2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	0	1	2	0	1	2
IPR002361	Antenna complex, alpha subunit conserved site	2	3	4	5	1	17	9	6	2	3	14	8	16	4	6	2	3	2	1	14	3	4	6	4
IPR002362	Antenna complex, beta subunit	5	3	3	6	0	12	10	12	5	0	19	4	23	1	1	0	4	6	1	14	3	5	6	2
IPR002363	Ribosomal protein L10, eubacterial, conserved site	53	71	136	48	30	45	47	65	56	22	60	59	55	56	29	109	46	128	115	55	69	59	23	69
IPR002364	Quinone oxidoreductase/zeta-crystallin, conserved site	131	152	236	97	131	148	156	167	150	110	138	154	257	159	57	213	68	215	183	241	163	153	94	188
IPR002365	Terpene synthase, conserved site	4	14	4	1	3	2	6	9	2	0	2	3	13	4	2	4	2	5	2	25	2	7	2	2
IPR002366	Defensin propeptide	0	0	1	0	6	0	1	0	0	3	0	0	0	1	1	1	0	3	3	0	1	2	0	1
IPR002368	Outer membrane protein, OmpA	4	4	4	12	1	6	2	8	1	1	2	2	2	5	3	0	9	16	8	4	5	3	2	7
IPR002369	Integrin beta subunit, VWA domain	1	3	3	0	2	1	3	4	2	1	3	0	9	1	1	2	1	1	1	9	3	2	0	5
IPR002371	Flagellar hook-associated protein 1	1	2	1	1	3	8	4	7	0	3	0	1	2	3	1	0	2	1	3	9	3	2	4	2
IPR002372	Pyrrolo-quinoline quinone repeat	789	1074	1709	570	556	934	857	1176	770	573	745	778	2211	905	547	1486	532	2465	2232	2617	871	965	597	1012
IPR002376	Formyl transferase, N-terminal	4627	4500	5826	2899	2524	3145	3683	4815	3296	2307	2831	3681	5687	4959	2216	5289	2626	5339	4895	6407	3917	4078	2455	4352
IPR002379	V-ATPase proteolipid subunit C-like domain	972	744	618	387	347	446	717	763	515	308	442	580	829	1047	357	565	342	753	677	971	594	788	425	679
IPR002386	Amicyanin/Pseudoazurin	3	15	4	3	2	9	6	12	2	3	3	3	13	5	0	1	4	4	0	7	22	12	5	14
IPR002387	Plastocyanin	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
IPR002388	Annexin A1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0
