GO	description	category	ERR2985255	ERR2985256	ERR2985257	ERR2985258	ERR2985259	ERR2985260	ERR2985261	ERR2985262	ERR2985263	ERR2985264	ERR2985265	ERR2985266	ERR2985267	ERR2985268	ERR2985269	ERR2985270	ERR2985271	ERR2985272	ERR2985273	ERR2985274	ERR2985275	ERR2985276	ERR2985277	ERR2985278
GO:0005534	galactose binding	molecular function	76	137	564	86	110	118	133	143	108	102	106	87	139	81	66	578	94	127	129	165	152	151	51	190
GO:0005537	mannose binding	molecular function	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005540	hyaluronic acid binding	molecular function	2	10	3	0	5	0	5	10	1	3	0	1	4	3	4	1	0	2	3	3	2	3	2	0
GO:0005542	folic acid binding	molecular function	262	296	128	102	160	325	245	312	265	143	303	291	546	275	184	119	96	231	206	598	207	249	197	223
GO:0005543	phospholipid binding	molecular function	0	1	0	1	2	1	0	6	0	2	2	0	1	0	1	3	0	0	0	4	3	0	0	0
GO:0005544	calcium-dependent phospholipid binding	molecular function	25	38	93	40	53	46	39	48	37	47	47	50	68	31	49	99	47	12	12	89	39	26	39	38
GO:0005545	1-phosphatidylinositol binding	molecular function	0	0	0	0	4	2	1	1	1	4	2	0	5	0	16	2	0	0	0	5	4	2	16	2
GO:0005549	odorant binding	molecular function	1	0	0	1	1	3	0	1	0	1	0	1	1	1	0	1	3	4	4	1	0	2	2	0
GO:0005576	extracellular region	cellular component	470	633	501	464	337	589	504	663	459	312	592	518	795	482	393	442	442	932	839	910	707	560	441	766
GO:0005577	fibrinogen complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GO:0005578	proteinaceous extracellular matrix	cellular component	0	2	2	0	0	6	1	0	1	0	2	1	2	5	1	1	0	6	3	2	1	2	6	0
GO:0005581	collagen trimer	cellular component	0	2	0	3	0	0	0	2	0	2	0	0	4	1	2	0	2	0	0	3	0	0	1	0
GO:0005615	extracellular space	cellular component	422	940	339	278	382	636	572	1015	616	329	577	724	1426	464	233	312	271	2497	2360	1652	964	613	270	1037
GO:0005618	cell wall	cellular component	365	342	143	187	222	338	296	381	343	216	283	347	391	365	202	133	170	319	259	455	344	313	211	355
GO:0005622	intracellular	cellular component	47279	37187	37394	18858	17763	23478	33686	39886	27624	16362	21517	30135	41508	50826	19543	34616	17611	36043	33332	46760	30764	36811	21316	33361
GO:0005634	nucleus	cellular component	134	452	412	341	293	233	532	510	167	227	216	239	497	145	195	376	341	372	382	580	838	636	219	897
GO:0005639	integral component of nuclear inner membrane	cellular component	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0
GO:0005643	nuclear pore	cellular component	9	32	11	5	10	10	16	31	9	5	8	3	36	12	4	13	6	8	15	40	24	21	4	43
GO:0005663	DNA replication factor C complex	cellular component	6	3	3	4	0	1	4	6	1	6	0	2	11	3	1	2	2	3	2	7	8	2	5	13
GO:0005664	nuclear origin of replication recognition complex	cellular component	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GO:0005665	DNA-directed RNA polymerase II, core complex	cellular component	0	3	3	1	0	1	0	6	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1
GO:0005666	DNA-directed RNA polymerase III complex	cellular component	0	1	5	4	0	1	3	3	0	1	1	0	2	1	0	4	5	2	2	5	4	1	1	3
GO:0005667	transcription factor complex	cellular component	13	14	13	13	6	6	29	24	10	6	10	7	20	11	12	14	11	15	23	48	59	33	9	63
GO:0005668	RNA polymerase transcription factor SL1 complex	cellular component	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005669	transcription factor TFIID complex	cellular component	5	7	2	4	1	4	4	5	1	1	7	1	1	3	3	1	4	3	4	3	11	5	3	7
GO:0005672	transcription factor TFIIA complex	cellular component	1	12	4	1	11	1	7	11	1	10	4	14	9	0	5	10	12	6	3	9	12	9	8	11
GO:0005674	transcription factor TFIIF complex	cellular component	0	2	3	0	0	2	0	3	0	1	0	0	5	0	1	1	0	0	0	1	2	0	2	3
GO:0005680	anaphase-promoting complex	cellular component	4	7	2	1	3	4	5	5	4	0	5	3	1	4	5	6	0	3	3	2	10	8	6	12
GO:0005681	spliceosomal complex	cellular component	3	13	15	18	2	10	15	18	4	5	6	6	18	5	4	11	11	18	6	32	43	27	4	57
GO:0005685	U1 snRNP	cellular component	1	1	3	1	2	5	11	1	0	4	3	0	1	1	1	1	0	3	0	3	9	4	3	11
GO:0005694	chromosome	cellular component	6719	4481	3453	2095	1928	2469	3942	4857	3519	1662	2295	3997	4637	7270	2613	3121	1994	4137	3703	5187	2908	4184	2883	3213
GO:0005727	extrachromosomal circular DNA	cellular component	971	3398	3386	1746	1380	1268	1894	3414	2007	1343	1194	2100	1099	1022	721	3157	1674	1938	1881	1190	6151	1973	733	6508
GO:0005730	nucleolus	cellular component	29	62	52	35	31	20	35	68	12	34	18	26	40	24	47	41	32	30	23	50	104	39	52	101
GO:0005732	small nucleolar ribonucleoprotein complex	cellular component	2	9	5	2	4	2	4	10	0	0	1	2	2	0	1	6	4	2	2	5	14	4	1	5
GO:0005737	cytoplasm	cellular component	38034	37217	41673	21483	20595	26691	29828	39265	27124	18978	24232	29657	47009	40893	18731	38322	19756	44997	41533	52867	33144	32641	20296	36264
GO:0005739	mitochondrion	cellular component	3	17	14	18	7	8	12	20	4	12	6	3	19	4	3	12	14	9	4	18	33	13	4	32
GO:0005740	mitochondrial envelope	cellular component	0	6	5	3	2	1	6	8	3	0	2	6	5	6	2	6	5	2	2	1	4	5	2	11
GO:0005741	mitochondrial outer membrane	cellular component	4	4	8	4	4	5	3	8	3	3	6	1	9	2	2	5	2	1	0	5	5	0	1	6
GO:0005742	mitochondrial outer membrane translocase complex	cellular component	2	3	2	4	0	4	1	8	8	1	3	2	3	4	0	3	0	0	2	1	17	1	1	14
GO:0005743	mitochondrial inner membrane	cellular component	12	26	40	18	17	22	17	14	18	13	15	16	29	11	10	30	16	24	20	27	50	28	16	64
GO:0005744	mitochondrial inner membrane presequence translocase complex	cellular component	0	1	0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	2	0	0	0	0
GO:0005746	mitochondrial respiratory chain	cellular component	0	0	31	0	2	1	0	0	0	2	1	0	0	0	0	37	1	1	1	1	0	0	0	0
GO:0005747	mitochondrial respiratory chain complex I	cellular component	0	1	0	0	2	0	0	1	0	1	1	1	0	0	0	1	0	3	2	1	1	0	0	0
GO:0005750	mitochondrial respiratory chain complex III	cellular component	11	8	9	3	5	3	2	8	6	5	4	8	14	8	3	5	5	7	2	20	7	5	7	10
GO:0005751	mitochondrial respiratory chain complex IV	cellular component	1	3	4	0	1	4	0	3	1	1	5	2	2	3	0	3	1	0	0	0	1	0	0	3
GO:0005758	mitochondrial intermembrane space	cellular component	0	0	1	0	0	0	0	0	0	1	2	0	3	1	0	0	0	3	0	0	0	0	1	1
GO:0005759	mitochondrial matrix	cellular component	4	28	8	7	4	3	22	29	8	5	5	5	17	5	3	10	10	11	7	19	28	29	4	28
GO:0005761	mitochondrial ribosome	cellular component	1	9	3	1	1	0	3	5	0	0	0	0	2	3	0	1	2	3	2	1	7	2	1	5
GO:0005762	mitochondrial large ribosomal subunit	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0
GO:0005763	mitochondrial small ribosomal subunit	cellular component	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	1	0	0	0	0	0	2	0	0
GO:0005764	lysosome	cellular component	2	0	2	1	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	6	1	0	2
GO:0005773	vacuole	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0005777	peroxisome	cellular component	8	14	23	12	15	15	18	16	23	10	8	33	23	10	8	20	18	18	11	24	53	21	14	53
GO:0005779	integral component of peroxisomal membrane	cellular component	0	5	2	7	4	6	6	6	4	4	2	5	10	2	0	5	5	8	4	16	14	6	6	34
GO:0005780	extrinsic component of intraperoxisomal membrane	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GO:0005783	endoplasmic reticulum	cellular component	12	49	35	21	26	21	38	60	15	16	20	14	54	12	12	34	23	29	30	64	100	44	21	122
GO:0005785	signal recognition particle receptor complex	cellular component	0	0	1	1	0	1	1	0	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	0
GO:0005786	signal recognition particle, endoplasmic reticulum targeting	cellular component	0	4	4	0	2	3	4	3	0	2	2	0	3	2	2	5	2	6	3	5	7	2	1	11
GO:0005787	signal peptidase complex	cellular component	0	10	17	7	1	1	4	10	2	1	3	1	3	1	1	12	9	1	0	4	7	5	0	13
GO:0005788	endoplasmic reticulum lumen	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0
GO:0005789	endoplasmic reticulum membrane	cellular component	8	53	29	20	11	11	25	49	12	12	18	16	30	9	10	11	19	20	22	36	63	37	18	85
GO:0005794	Golgi apparatus	cellular component	3	1	4	2	0	1	6	2	0	0	1	0	6	2	2	1	3	1	0	5	0	5	0	0
GO:0005795	Golgi stack	cellular component	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	1	0	0	1	0	1	0	0
GO:0005801	cis-Golgi network	cellular component	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
GO:0005813	centrosome	cellular component	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0005815	microtubule organizing center	cellular component	10	15	11	11	5	2	19	12	6	3	1	12	20	7	5	8	11	15	19	17	61	28	6	56
GO:0005819	spindle	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
GO:0005829	cytosol	cellular component	16	17	5	18	10	18	17	16	11	2	15	14	24	16	10	8	21	19	10	20	34	22	16	32
GO:0005833	hemoglobin complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
GO:0005834	heterotrimeric G-protein complex	cellular component	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GO:0005835	fatty acid synthase complex	cellular component	31	55	32	31	40	36	38	56	83	36	30	85	99	47	14	24	34	99	102	129	65	47	20	82
GO:0005839	proteasome core complex	cellular component	209	508	498	265	196	258	438	601	289	176	217	348	583	267	148	450	269	468	418	646	652	531	163	758
GO:0005840	ribosome	cellular component	73059	51666	44719	24203	23692	32291	47409	54925	39379	21947	29516	42955	54592	78146	28684	41672	22445	41537	38433	60988	39028	51542	31180	42248
GO:0005845	mRNA cap binding complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
GO:0005849	mRNA cleavage factor complex	cellular component	0	3	1	0	0	0	0	1	1	0	1	0	4	0	0	1	0	0	1	2	1	0	0	1
GO:0005852	eukaryotic translation initiation factor 3 complex	cellular component	5	30	18	15	16	18	21	29	11	8	16	17	29	9	12	24	10	17	19	32	32	16	11	36
GO:0005853	eukaryotic translation elongation factor 1 complex	cellular component	4	9	7	0	2	3	2	7	3	0	3	7	5	4	1	3	2	0	2	0	4	4	4	1
GO:0005856	cytoskeleton	cellular component	7	19	14	30	12	13	22	25	13	13	17	6	10	12	20	21	18	15	15	18	30	24	25	18
GO:0005861	troponin complex	cellular component	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
GO:0005869	dynactin complex	cellular component	0	1	1	0	1	0	1	2	0	0	0	0	0	0	1	3	0	0	0	1	0	0	1	1
GO:0005871	kinesin complex	cellular component	0	1	0	2	0	0	0	0	2	0	0	2	2	3	1	1	0	5	1	3	0	0	0	0
GO:0005874	microtubule	cellular component	185	443	412	212	155	154	462	436	164	146	157	224	350	224	106	368	204	279	250	458	555	553	133	567
GO:0005875	microtubule associated complex	cellular component	0	1	2	3	2	1	10	2	6	2	1	0	5	3	1	7	2	5	2	8	15	5	1	26
GO:0005876	spindle microtubule	cellular component	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005882	intermediate filament	cellular component	3	3	21	5	2	15	3	2	1	5	17	3	1	4	3	19	4	1	0	1	18	2	2	22
GO:0005885	Arp2/3 protein complex	cellular component	7	11	23	10	16	20	24	31	15	12	18	3	21	8	5	22	6	15	15	29	59	33	14	58
GO:0005886	plasma membrane	cellular component	2671	3801	3300	2214	1789	2989	2984	4090	2869	1629	2692	3193	5447	2839	1749	3145	2018	3911	3571	6230	3373	3360	2007	3603
GO:0005887	integral component of plasma membrane	cellular component	1753	1815	3169	1217	1411	1308	1502	1963	1227	1275	1108	1366	3053	1827	990	2878	1143	2442	2196	3382	1834	1624	1086	2001
GO:0005890	sodium:potassium-exchanging ATPase complex	cellular component	0	2	1	1	0	0	3	3	0	0	0	0	2	0	0	2	3	0	1	4	2	2	2	2
GO:0005891	voltage-gated calcium channel complex	cellular component	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	2	0	0
GO:0005892	acetylcholine-gated channel complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GO:0005911	cell-cell junction	cellular component	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
GO:0005921	gap junction	cellular component	0	6	0	3	0	1	2	11	1	0	0	4	20	0	14	2	4	0	1	32	0	1	11	0
GO:0005922	connexin complex	cellular component	1	2	2	0	2	1	1	2	1	0	2	0	0	1	0	2	0	0	0	0	2	1	0	1
GO:0005923	bicellular tight junction	cellular component	0	1	11	4	3	2	3	1	1	1	3	1	3	1	0	3	2	1	2	6	0	4	0	1
GO:0005925	focal adhesion	cellular component	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0
GO:0005940	septin ring	cellular component	5	8	3	27	2	2	5	9	2	3	7	6	4	2	10	5	24	10	17	7	8	8	12	6
GO:0005956	protein kinase CK2 complex	cellular component	12	29	30	18	14	17	47	48	8	10	9	19	26	8	8	31	13	21	23	45	79	53	15	88
GO:0005964	phosphorylase kinase complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GO:0005975	carbohydrate metabolic process	biological process	35875	41785	54672	24645	21928	33177	34992	44307	29161	19987	29992	32289	48630	38516	19124	50239	23046	49381	45277	55245	39942	38246	21132	43820
GO:0005976	polysaccharide metabolic process	biological process	567	691	1021	370	329	480	586	703	498	329	423	533	1017	566	243	980	322	1182	1084	1131	686	650	291	776
GO:0005978	glycogen biosynthetic process	biological process	414	459	877	326	258	431	412	529	348	276	336	434	595	417	214	736	320	808	752	729	540	427	256	608
GO:0005985	sucrose metabolic process	biological process	3	2	0	0	8	3	1	3	0	7	2	5	4	0	9	0	0	1	1	3	1	1	9	0
GO:0005991	trehalose metabolic process	biological process	356	280	99	133	368	500	518	279	189	333	452	227	223	398	178	89	134	108	99	249	276	591	184	298
GO:0005992	trehalose biosynthetic process	biological process	921	889	291	450	398	585	819	934	757	364	554	796	1283	948	384	242	436	348	302	1422	976	880	439	1001
GO:0005993	trehalose catabolic process	biological process	0	13	2	0	1	0	0	6	0	0	1	0	0	0	1	1	0	0	0	0	2	0	1	1
GO:0005996	monosaccharide metabolic process	biological process	68	140	543	152	94	175	154	140	124	90	151	142	205	60	37	574	123	352	306	211	207	128	48	189
GO:0006000	fructose metabolic process	biological process	4	14	12	17	7	8	10	23	4	8	10	13	28	6	5	13	10	9	4	35	21	10	4	21
GO:0006002	fructose 6-phosphate metabolic process	biological process	434	455	831	275	262	391	342	486	319	232	369	404	619	503	235	741	273	677	594	711	361	364	294	405
GO:0006003	fructose 2,6-bisphosphate metabolic process	biological process	0	2	1	0	0	0	0	2	3	0	0	0	5	1	0	1	5	0	0	6	1	0	1	2
GO:0006004	fucose metabolic process	biological process	107	112	42	137	72	123	75	111	71	56	112	73	91	114	76	45	128	331	317	138	140	71	83	164
GO:0006006	glucose metabolic process	biological process	3150	3539	3777	1785	1461	2343	3033	3790	2639	1314	2188	2909	4760	3376	1602	3411	1694	3539	3276	5307	3364	3283	1742	3607
GO:0006007	glucose catabolic process	biological process	1598	1346	361	564	425	671	859	1392	854	379	592	923	1482	1667	515	334	520	736	700	1615	944	902	538	1064
GO:0006011	UDP-glucose metabolic process	biological process	239	110	145	161	69	133	79	124	145	68	114	150	125	256	48	126	131	2007	1865	165	300	92	58	313
GO:0006012	galactose metabolic process	biological process	224	350	2215	256	465	275	232	381	185	455	261	185	395	239	141	2086	238	470	436	427	312	273	134	345
GO:0006013	mannose metabolic process	biological process	171	196	121	164	172	286	327	208	302	157	270	346	421	191	152	82	147	290	259	487	466	372	197	498
GO:0006021	inositol biosynthetic process	biological process	169	179	54	84	84	149	172	175	110	71	119	127	308	165	94	48	74	105	109	339	127	192	113	128
GO:0006024	glycosaminoglycan biosynthetic process	biological process	8	10	3	7	3	6	7	11	2	6	3	2	13	6	15	1	4	0	2	11	7	3	18	6
GO:0006030	chitin metabolic process	biological process	11	33	13	26	10	7	20	29	15	11	7	23	39	18	29	9	19	18	22	46	49	19	28	39
GO:0006031	chitin biosynthetic process	biological process	4	7	1	7	7	0	12	9	9	2	4	9	4	5	7	1	10	14	7	9	39	8	4	44
GO:0006032	chitin catabolic process	biological process	539	442	319	795	724	1265	361	484	527	648	1144	477	93	541	559	249	747	155	165	132	508	400	626	543
GO:0006040	amino sugar metabolic process	biological process	631	1190	2553	690	606	826	876	1321	788	564	743	822	1163	655	387	2362	665	2248	2066	1292	1471	939	406	1541
GO:0006044	N-acetylglucosamine metabolic process	biological process	36	59	19	55	9	61	56	75	37	17	39	53	23	48	14	12	57	41	46	43	47	53	26	45
GO:0006051	N-acetylmannosamine metabolic process	biological process	27	42	19	29	21	33	59	44	39	16	24	44	77	30	40	20	28	61	51	66	28	61	39	20
GO:0006064	glucuronate catabolic process	biological process	489	933	317	691	245	711	843	933	637	218	682	680	524	514	260	301	660	1187	1116	560	1059	959	296	1113
GO:0006071	glycerol metabolic process	biological process	545	880	358	655	341	686	733	917	718	294	618	779	1104	595	339	332	575	487	488	1255	750	852	378	810
GO:0006072	glycerol-3-phosphate metabolic process	biological process	449	546	774	319	254	370	414	572	468	241	343	518	731	444	191	715	274	620	564	829	582	424	222	590
GO:0006075	(1->3)-beta-D-glucan biosynthetic process	biological process	1	5	1	3	2	3	3	3	1	2	0	0	8	3	4	1	0	3	1	6	3	7	3	4
GO:0006080	substituted mannan metabolic process	biological process	6	3	3	5	4	6	7	6	4	3	3	7	4	6	3	2	0	8	4	5	9	5	0	8
GO:0006084	acetyl-CoA metabolic process	biological process	202	234	474	256	169	240	136	231	190	148	196	196	434	205	121	420	230	619	565	503	234	152	133	234
GO:0006089	lactate metabolic process	biological process	21	22	8	37	17	27	13	21	18	17	28	14	54	16	20	11	29	44	31	68	38	18	26	45
GO:0006094	gluconeogenesis	biological process	4940	7642	12773	4129	4091	5708	5643	7941	5458	3809	5277	5922	11137	5274	3012	11983	3921	9732	9104	12337	7853	6186	3318	8356
GO:0006096	glycolytic process	biological process	15509	13970	19020	6603	7073	9510	12249	14709	10479	6612	8685	11345	17268	16773	6924	17535	6182	14649	13443	19430	11043	13450	7596	11942
GO:0006097	glyoxylate cycle	biological process	891	1275	3596	774	960	1093	1014	1394	1226	884	992	1332	2320	958	567	3306	733	4229	3920	2527	1838	1070	584	1988
GO:0006098	pentose-phosphate shunt	biological process	569	564	175	336	262	487	584	627	532	248	457	584	901	614	289	163	303	275	245	1037	526	590	310	595
GO:0006099	tricarboxylic acid cycle	biological process	3896	6186	15061	3206	3962	4291	4351	6467	4200	3682	3846	4573	9758	4190	2310	13941	3007	12039	11189	10863	7853	4752	2520	8393
GO:0006106	fumarate metabolic process	biological process	46	54	135	22	26	57	34	44	43	25	46	55	31	66	9	113	27	116	100	34	52	37	17	40
GO:0006108	malate metabolic process	biological process	55	96	36	56	60	44	74	98	63	45	38	35	75	45	45	26	61	115	101	89	64	86	59	79
GO:0006109	regulation of carbohydrate metabolic process	biological process	629	866	1865	798	861	910	785	998	683	753	770	758	1015	663	1034	1702	703	1764	1582	1264	817	827	1142	927
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	biological process	59	64	178	38	62	41	62	76	56	46	43	69	103	58	42	129	33	105	97	126	44	73	32	64
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	biological process	11	8	9	3	5	3	2	8	6	5	4	8	14	8	3	5	5	7	2	20	7	5	7	10
GO:0006139	nucleobase-containing compound metabolic process	biological process	5695	5986	6804	4520	4717	5244	5145	6508	4668	4244	4692	5048	6764	5978	3579	6114	4311	6243	5764	7538	5361	5633	3940	5852
GO:0006144	purine nucleobase metabolic process	biological process	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GO:0006164	purine nucleotide biosynthetic process	biological process	5198	6407	7602	3395	3625	4753	4980	6859	4653	3416	4400	5043	7715	5578	2744	7123	3263	8324	7742	8584	5800	5418	3019	6298
GO:0006165	nucleoside diphosphate phosphorylation	biological process	790	674	616	376	295	391	549	802	475	263	355	539	737	906	326	588	317	633	557	879	518	623	348	583
GO:0006166	purine ribonucleoside salvage	biological process	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GO:0006171	cAMP biosynthetic process	biological process	33	64	20	110	31	62	19	64	27	27	54	26	42	38	16	18	112	128	117	35	51	24	18	51
GO:0006177	GMP biosynthetic process	biological process	556	734	763	328	329	509	515	757	512	322	464	536	873	556	270	685	348	913	846	919	609	572	299	680
GO:0006182	cGMP biosynthetic process	biological process	16	29	11	10	20	18	28	33	7	12	20	21	69	17	8	14	6	8	7	78	28	20	16	28
GO:0006183	GTP biosynthetic process	biological process	790	674	616	376	295	391	549	802	475	263	355	539	737	906	326	588	317	633	557	879	518	623	348	583
GO:0006188	IMP biosynthetic process	biological process	574	729	974	313	337	378	441	765	381	300	338	456	708	640	251	907	285	1101	1018	751	560	492	297	652
GO:0006189	'de novo' IMP biosynthetic process	biological process	1182	1432	1950	780	744	1000	1009	1516	1096	669	881	1115	1943	1223	606	1735	737	1812	1665	2196	1368	1175	667	1456
GO:0006190	inosine salvage	biological process	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1
GO:0006198	cAMP catabolic process	biological process	27	21	31	10	16	30	16	34	24	13	17	37	46	21	7	44	15	124	104	71	46	18	26	60
GO:0006206	pyrimidine nucleobase metabolic process	biological process	69	98	207	66	63	54	61	96	65	46	64	59	125	62	29	194	55	81	64	133	139	94	45	113
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	biological process	864	1005	1342	545	487	741	793	1020	724	469	591	848	1360	1017	441	1200	492	1341	1183	1539	932	904	509	1033
GO:0006213	pyrimidine nucleoside metabolic process	biological process	123	137	230	110	93	118	130	195	107	73	101	111	236	119	63	207	94	122	103	238	216	146	70	236
GO:0006221	pyrimidine nucleotide biosynthetic process	biological process	4691	3148	2598	1452	1540	1986	2937	3323	2615	1454	1837	2810	3449	5024	1719	2446	1419	2533	2314	3793	2166	3078	1898	2313
GO:0006228	UTP biosynthetic process	biological process	790	674	616	376	295	391	549	802	475	263	355	539	737	906	326	588	317	633	557	879	518	623	348	583
GO:0006231	dTMP biosynthetic process	biological process	2255	2837	2467	5152	5011	3271	2231	2947	2034	4495	3102	2258	1000	2330	3892	2359	4752	2603	2295	1122	2077	2453	4144	2239
GO:0006233	dTDP biosynthetic process	biological process	164	159	90	162	82	128	125	165	168	68	127	169	166	200	66	102	150	60	73	175	126	123	86	114
GO:0006241	CTP biosynthetic process	biological process	790	674	616	376	295	391	549	802	475	263	355	539	737	906	326	588	317	633	557	879	518	623	348	583
GO:0006259	DNA metabolic process	biological process	10270	8530	7535	10449	8515	7342	7051	8950	7651	7759	6778	8425	6292	11231	8790	6974	9941	6276	5799	7005	5585	7779	9671	6153
GO:0006260	DNA replication	biological process	56147	47498	42152	50208	46849	40534	42533	50501	41635	42931	36504	46110	36667	60258	39525	38669	45757	38326	35120	41197	39859	46848	44162	43732
GO:0006261	DNA-dependent DNA replication	biological process	2209	1769	1490	1216	1069	1284	1575	1903	1321	970	1156	1386	1718	2409	1115	1343	1065	1487	1337	1925	1182	1756	1341	1321
GO:0006265	DNA topological change	biological process	36315	28519	30629	13138	13315	18124	24174	30077	20868	12131	16448	23053	28439	38965	15079	28320	12288	25371	23541	31712	20348	26043	16476	22150
GO:0006269	DNA replication, synthesis of RNA primer	biological process	17	160	42	33	22	21	38	134	35	20	22	44	74	15	8	34	30	24	18	64	58	36	8	77
GO:0006270	DNA replication initiation	biological process	2993	4830	5146	4105	3563	3835	3475	5037	3448	3434	3499	3697	2629	3165	2558	4777	3815	2929	2847	2887	7242	3824	2675	7676
GO:0006274	DNA replication termination	biological process	31	56	27	68	28	41	18	68	17	15	35	16	19	35	16	33	72	49	63	22	100	17	19	113
GO:0006275	regulation of DNA replication	biological process	2009	1652	1635	2499	2157	2617	1860	1831	1602	2091	2351	1746	1277	2120	1846	1494	2277	1018	1010	1424	1180	2103	1946	1250
GO:0006276	plasmid maintenance	biological process	75	98	43	97	72	78	77	113	87	67	58	101	109	88	48	35	110	101	81	127	136	80	48	141
GO:0006278	RNA-dependent DNA biosynthetic process	biological process	54	75	187	56	48	37	41	66	57	53	39	61	154	64	47	171	48	46	37	163	63	50	53	52
GO:0006281	DNA repair	biological process	30085	23940	20994	20287	16058	18553	22419	25483	19690	14751	16751	21407	23908	32503	18345	19294	18620	19167	17480	26586	17962	24826	20011	19496
GO:0006282	regulation of DNA repair	biological process	513	464	765	268	342	440	481	464	351	329	390	360	570	550	212	677	258	822	684	632	539	514	281	575
GO:0006284	base-excision repair	biological process	2563	2520	1650	1238	1127	1768	2295	2614	1954	1057	1593	2035	3334	2785	1168	1628	1123	1787	1683	3795	2007	2547	1310	2292
GO:0006289	nucleotide-excision repair	biological process	1118	1002	768	472	581	721	891	1067	729	555	663	839	1047	1151	482	719	427	683	649	1161	773	959	543	843
GO:0006298	mismatch repair	biological process	3465	5369	7106	2960	2478	3684	3707	5540	3076	2278	3420	3364	6651	3705	2132	6450	2775	7768	7124	7413	4730	3993	2244	5156
GO:0006302	double-strand break repair	biological process	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	3	0	2	1	2
GO:0006303	double-strand break repair via nonhomologous end joining	biological process	53	125	51	46	46	100	139	129	76	54	85	107	148	57	35	51	42	37	30	192	170	134	43	168
GO:0006304	DNA modification	biological process	2021	2748	4144	1596	1331	1620	2215	2768	1782	1247	1477	2071	2908	2196	996	3612	1444	2718	2462	3336	3163	2429	1160	3512
GO:0006306	DNA methylation	biological process	15041	17293	21125	32312	27167	20819	17817	18570	18576	24686	18716	20678	10312	16150	21350	19504	29690	15604	14218	11467	16884	19926	24227	18893
GO:0006308	DNA catabolic process	biological process	452	557	423	286	350	437	500	594	403	273	432	421	648	481	207	343	304	380	334	737	535	532	272	688
GO:0006310	DNA recombination	biological process	31233	33476	43862	41845	32856	33123	32452	36135	29209	29887	29392	32428	31723	33888	29974	40049	38027	35675	32282	36517	32835	35626	33167	36569
GO:0006313	transposition, DNA-mediated	biological process	13893	22931	38188	14828	17416	15745	19981	24425	15994	16017	14170	17988	25110	15000	8620	34795	13680	31344	28257	28803	30065	21657	9536	33383
