IPR	description	ERR1809119	ERR1809120	ERR1809121	ERR1809122	ERR1809123	ERR1809124	ERR1809125	ERR1809127	ERR1809128	ERR1809129	ERR1809130	ERR1809131	ERR1809132	ERR1809133	ERR1809134	ERR1809135	ERR1809136	ERR1809137	ERR1809138	ERR1809139	ERR1809140	ERR1809141	ERR1809142	ERR1809143	ERR1809144	ERR1809145	ERR1809146	ERR1809147	ERR1809148	ERR1809149	ERR1809150	ERR1809151	ERR1809152	ERR1809153	ERR1809154	ERR1809155	ERR1809156
IPR004102	Poly(ADP-ribose) polymerase, regulatory domain	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004103	Polysaccharide lyase family 8, C-terminal	209	200	183	226	208	46	26	0	251	240	245	251	227	251	254	249	236	174	26	16	17	42	21	27	26	4	7	2	11	32	5	0	1	7	10	5	28
IPR004104	Oxidoreductase, C-terminal	43	43	55	53	51	12	18	0	10	16	23	13	16	36	29	25	24	21	32	29	18	52	33	37	56	19	11	1	37	21	4	15	10	14	13	9	8
IPR004105	Histidine kinase  CheA-like, homodimeric domain	7	12	13	10	10	3	0	0	17	10	12	8	5	3	1	2	2	0	1	2	1	7	6	1	2	1	0	0	1	0	0	0	0	1	1	0	0
IPR004107	Integrase, SAM-like, N-terminal	550	532	513	508	547	107	56	0	424	414	462	452	351	361	346	390	369	241	159	153	87	141	134	149	161	137	142	18	157	62	26	77	77	77	53	38	44
IPR004108	Iron hydrogenase, large subunit, C-terminal	656	589	627	635	656	162	175	1	509	502	555	502	419	437	458	455	472	305	219	212	171	322	281	313	339	174	169	35	223	97	41	68	44	81	74	110	171
IPR004111	Tetracycline transcriptional regulator, TetR, C-terminal	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004113	FAD-linked oxidase, C-terminal	111	116	157	117	122	31	16	0	62	73	46	57	61	109	101	109	83	76	24	34	16	45	28	36	42	32	31	4	21	10	4	62	40	25	8	19	9
IPR004114	THUMP domain	32	25	29	29	28	6	12	0	31	23	44	27	29	9	22	13	23	7	11	15	4	13	12	17	14	11	14	5	17	6	2	9	5	2	3	6	2
IPR004115	GAD-like domain	265	225	268	228	222	57	76	0	307	260	278	282	250	248	235	248	292	160	108	100	65	108	105	99	98	112	79	15	98	76	19	160	123	120	29	45	40
IPR004119	Protein of unknown function DUF227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IPR004122	Barrier- to-autointegration factor, BAF	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004124	Glycoside hydrolase, family 33, N-terminal	1	0	1	2	0	0	1	0	3	6	1	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0
IPR004125	Signal recognition particle, SRP54 subunit, M-domain	309	307	287	318	331	67	32	0	375	306	348	373	271	308	305	357	291	226	72	65	44	114	105	102	116	161	162	29	80	36	15	83	68	54	15	22	13
IPR004127	Prefoldin alpha-like	0	0	0	2	1	0	0	0	0	2	3	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IPR004130	GPN-loop GTPase	1	2	0	1	3	0	0	0	0	1	1	1	1	0	2	1	1	0	0	4	0	1	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0
IPR004131	Pyrophosphate-energised proton pump	836	833	881	894	844	199	219	0	644	631	660	626	505	1060	1002	1080	1089	723	323	325	228	217	227	267	301	188	207	36	187	215	109	470	378	167	70	86	169
IPR004134	Peptidase C1B, bleomycin hydrolase	363	373	406	367	370	68	64	0	704	660	749	679	598	490	455	476	484	294	132	117	86	86	84	91	98	89	81	19	101	35	44	12	13	87	14	33	46
IPR004136	Nitronate monooxygenase	177	154	196	168	188	51	167	1	156	174	182	186	176	224	182	230	201	135	104	95	69	98	108	107	117	127	109	23	96	82	51	117	92	51	37	19	92
IPR004137	Hydroxylamine reductase/Ni-containing CO dehydrogenase	490	476	501	480	492	111	131	0	609	634	590	632	459	382	316	365	388	223	169	178	109	170	146	152	191	206	223	32	180	56	64	30	12	32	85	109	21
IPR004142	NDRG	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004143	Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL), catalytic domain	76	53	86	58	84	13	18	0	81	84	82	89	62	84	63	76	59	38	38	24	19	34	35	37	41	58	37	7	43	9	3	40	32	28	17	10	7
IPR004147	UbiB domain	19	20	15	21	24	6	0	0	75	51	72	56	47	4	5	2	3	5	11	7	6	7	5	9	11	2	1	1	8	0	3	1	2	8	3	1	2
IPR004148	BAR domain	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004149	Zinc-finger, NAD-dependent DNA ligase C4-type	76	57	64	77	71	23	18	0	61	54	79	75	56	75	70	77	90	59	40	41	27	42	53	44	43	18	24	3	22	17	17	26	30	15	7	20	13
IPR004150	NAD-dependent DNA ligase, OB-fold	251	240	227	252	241	67	73	0	237	214	279	208	189	237	196	252	230	161	89	96	50	94	86	84	98	94	75	14	57	50	17	89	74	59	23	42	39
IPR004152	GAT domain	1	1	1	0	3	0	0	0	4	5	3	1	1	0	0	3	2	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0
IPR004154	Anticodon-binding	1028	946	1116	1047	1140	241	215	1	1044	989	1021	1028	825	1032	1078	1181	1121	739	274	304	203	320	327	351	376	298	261	49	306	182	42	367	266	257	106	128	123
IPR004155	PBS lyase HEAT-like repeat	4	2	6	6	3	1	0	0	0	1	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004160	Translation elongation factor EFTu/EF1A, C-terminal	312	257	302	322	319	67	29	0	313	270	304	281	253	257	221	281	267	155	77	93	53	109	97	99	117	288	273	41	52	16	13	98	74	43	19	20	12
IPR004161	Translation elongation factor EFTu-like, domain 2	115	115	123	114	115	20	31	0	88	94	116	90	86	74	60	92	73	61	43	47	36	68	66	76	51	100	99	12	45	21	3	47	47	23	21	16	15
IPR004163	Coenzyme A transferase binding site	5	6	5	7	6	3	0	0	0	1	6	1	3	10	6	12	10	2	0	0	0	0	1	0	2	1	0	0	1	3	0	0	0	0	1	0	0
IPR004164	Coenzyme A transferase active site	15	21	16	12	19	2	3	0	5	4	3	9	13	16	15	25	14	11	2	1	1	9	9	7	6	3	5	0	2	5	0	0	0	0	1	1	3
IPR004165	Coenzyme A transferase family I	114	101	115	95	99	27	52	0	41	40	47	53	42	75	79	84	79	48	30	33	18	64	39	51	60	33	45	7	26	40	5	15	4	2	9	16	45
IPR004167	E3-binding domain	42	43	54	42	50	7	9	0	12	6	11	10	15	19	16	14	10	5	6	7	6	14	7	6	13	17	15	1	7	2	4	25	21	3	5	4	5
IPR004168	PPAK motif	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004173	3H domain	30	36	35	31	33	6	25	0	83	73	80	91	81	20	20	25	19	18	18	22	10	24	15	18	16	12	14	4	28	10	1	9	4	8	3	12	5
IPR004174	Head-to-tail joining protein W, GpW	21	21	11	22	19	8	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
IPR004176	Clp, N-terminal	455	460	475	434	502	128	88	0	567	476	592	575	451	359	332	401	368	229	183	171	124	188	186	181	194	142	167	20	144	65	36	201	172	122	44	67	55
IPR004179	Sec63 domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IPR004181	Zinc finger, MIZ-type	1	0	2	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004182	GRAM domain	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004183	Extradiol ring-cleavage dioxygenase, class III enzyme, subunit B	23	27	31	34	34	6	0	0	0	0	6	5	7	2	1	0	2	0	0	0	0	53	51	45	53	1	0	0	4	9	0	0	0	0	6	0	0
IPR004184	Pyruvate formate lyase domain	971	902	954	1035	961	264	240	0	1012	927	1011	949	762	906	815	942	836	506	293	297	196	267	284	299	294	153	167	25	276	174	73	539	420	121	106	84	133
IPR004185	Glycoside hydrolase, family 13, N-terminal Ig-like domain	5	10	10	11	3	2	4	0	19	15	22	19	17	6	7	6	6	5	3	3	2	5	2	2	2	1	2	0	6	1	0	0	0	0	1	2	0
IPR004188	Phenylalanine-tRNA ligase, class II, N-terminal	162	139	167	148	139	37	39	1	131	134	148	130	104	155	149	174	145	95	40	27	21	51	46	42	52	38	29	6	29	18	7	51	44	20	9	23	15
IPR004189	Bacteriophage Mu, transposase	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004190	DNA polymerase processivity factor	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IPR004192	Ubiquinol cytochrome reductase, transmembrane domain	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004193	Glycoside hydrolase, family 13, N-terminal	131	120	130	145	143	36	51	0	195	218	234	230	209	113	115	115	119	84	32	42	37	69	46	71	69	49	38	8	86	33	14	62	42	47	27	26	10
IPR004195	Head decoration protein D	24	15	25	20	26	5	0	0	0	0	4	1	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	1	0	0
IPR004196	Scaffold protein D, bacteriophage	0	0	0	3	0	1	0	0	0	1	1	0	0	1	4	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004197	Cellulase,  Ig-like domain	32	39	38	41	45	9	11	0	60	48	64	64	47	101	86	103	74	49	7	9	2	17	10	13	14	20	10	2	12	6	3	0	0	8	5	4	8
IPR004199	Beta galactosidase small chain/ domain 5	832	780	826	785	809	188	276	0	920	847	961	954	758	1246	1121	1218	1192	725	247	278	194	322	316	325	347	110	157	22	183	208	79	255	185	207	104	94	226
IPR004202	Cytochrome c oxidase subunit VIIc	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004203	Cytochrome c oxidase subunit IV family	1	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
IPR004204	Cytochrome c oxidase subunit 6C	2	0	1	0	0	2	0	0	7	4	8	4	4	1	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
IPR004205	Cytochrome b-c1 complex subunit 8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004209	Ferredoxin thioredoxin reductase catalytic beta subunit	1	1	0	0	0	0	0	0	0	0	2	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
IPR004212	GTF2I-like repeat	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004215	Prokaryotic glutathione synthetase, N-terminal	10	3	8	7	8	3	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IPR004217	Tim10/DDP family zinc finger	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004218	Prokaryotic glutathione synthetase, ATP-binding	21	9	25	18	28	6	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	1	0	0
IPR004221	Restriction endonuclease, type II, EcoRI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
IPR004223	Vitamin B12-dependent methionine synthase, activation domain	372	379	396	347	399	95	103	0	249	258	260	267	225	533	469	516	529	354	104	113	91	107	105	107	116	87	62	11	59	99	39	176	134	88	15	32	104
IPR004233	Restriction endonuclease, type II, FokI, catalytic domain	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004234	Restriction endonuclease, type II, FokI, N-terminal	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004238	Late embryogenesis abundant protein LEA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004242	Transposon, En/Spm-like	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004244	Transposase, L1	8	4	5	10	4	0	0	0	36	39	49	46	32	0	0	0	0	0	0	0	0	8	9	2	5	0	0	0	0	0	0	1	1	0	0	0	0
IPR004245	Protein of unknown function DUF229	2	0	2	0	3	0	0	0	0	0	2	1	1	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
IPR004247	Lentiviral Vpr-like protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
IPR004254	AdipoR/Haemolysin-III-related	39	39	36	41	42	12	18	0	82	76	80	78	62	38	29	27	34	28	22	29	25	22	21	25	39	14	12	1	19	14	15	19	14	21	2	1	12
IPR004256	Domain of unknown function DUF234, DEXX-box ATPase C-terminal	72	63	93	69	76	18	3	0	101	99	102	106	101	65	54	65	60	34	5	9	1	10	8	10	10	3	5	0	5	2	2	3	1	2	3	3	0
IPR004260	Pyrimidine dimer DNA glycosylase	0	2	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004268	Peptidoglycan biosynthesis protein MurJ	39	29	39	41	43	9	14	0	18	13	22	23	23	6	8	4	9	4	16	17	16	7	9	10	7	7	8	1	4	2	5	46	41	3	8	7	3
IPR004273	Dynein heavy chain domain	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004274	FCP1 homology domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IPR004275	Frog antimicrobial peptide, propeptide	0	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004276	Glycosyltransferase family 28, N-terminal domain	104	97	116	105	105	32	43	0	115	121	110	135	102	87	96	102	87	77	46	50	30	52	46	49	54	48	39	7	51	34	9	47	32	51	15	22	32
IPR004279	Perilipin	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004288	Competence protein, ComC	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004291	Transposase, IS66	1911	1764	1974	1871	1923	430	228	0	1362	1281	1426	1298	1158	2316	2296	2527	2438	1477	415	434	326	195	201	197	212	199	194	33	265	85	120	196	188	382	170	200	89
IPR004298	Nicotianamine synthase	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004299	Membrane bound O-acyl transferase, MBOAT	138	155	172	158	169	45	65	0	107	120	151	122	100	138	146	162	146	95	89	74	54	62	55	55	55	77	51	13	103	59	15	69	67	56	24	42	32
IPR004300	Glycoside hydrolase family 57, N-terminal domain	84	97	87	97	113	26	47	0	62	60	62	61	67	168	181	189	186	119	25	25	24	40	39	40	38	52	44	6	37	57	6	99	87	54	12	12	16
IPR004304	Acetamidase/Formamidase	3	5	2	3	3	2	3	0	2	3	4	2	1	0	3	2	1	1	8	4	4	8	12	10	6	9	13	1	2	0	2	2	4	1	3	1	0
IPR004305	Thiaminase-2/PQQC	37	41	30	35	38	7	4	0	41	36	34	32	24	25	19	22	23	16	12	8	3	14	15	14	18	27	26	5	17	7	1	17	20	14	0	3	8
IPR004307	TspO/MBR-related protein	62	64	88	71	52	10	20	0	38	40	34	28	21	76	65	67	88	55	22	30	24	19	26	33	25	12	11	3	31	19	2	83	78	37	11	5	14
IPR004311	Vacuolating cytotoxin, putative	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004313	Acireductone dioxygenase ARD family	1	0	0	1	1	1	0	0	2	5	2	4	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IPR004316	SWEET sugar transporter	3	1	3	1	2	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004322	Plasmid replicase, bacterial	2	1	1	0	0	0	0	0	400	375	363	389	318	0	0	0	0	0	1	0	1	0	2	2	1	0	1	0	5	2	0	2	4	2	0	1	2
IPR004323	Divalent ion tolerance protein, CutA	28	21	24	19	24	5	0	0	3	2	4	3	2	1	2	0	0	1	6	4	2	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
IPR004324	Folate-biopterin transporter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004328	BRO1 domain	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004329	CcmE/CycJ protein	12	16	16	14	21	2	1	0	5	3	6	3	1	2	9	4	5	1	3	2	2	0	0	2	1	0	0	1	0	1	0	1	0	0	1	0	0
IPR004338	NADH-quinone reductase NQR2/RnfD	1005	977	1005	969	995	214	275	0	802	757	838	789	652	1288	1268	1405	1334	847	247	238	196	249	293	286	296	252	270	50	303	243	75	320	249	229	109	137	184
IPR004341	CAT RNA-binding domain	17	19	13	18	20	3	7	0	43	34	49	45	47	0	5	6	3	1	1	0	0	7	4	10	5	1	3	1	11	1	2	0	0	4	1	0	1
IPR004344	Tubulin-tyrosine ligase/Tubulin polyglutamylase	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004347	Pup ligase/deamidase	0	0	0	0	0	0	0	0	160	156	166	159	142	0	2	1	0	0	0	0	0	22	15	21	22	0	2	0	3	19	7	0	0	41	1	2	4
IPR004352	Glycoside-hydrolase family GH114, TIM-barrel domain	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IPR004353	Vacuolar fusion protein MON1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004354	Meiotic recombination protein Rec114	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004356	Adhesin operon regulatory protein	10	13	11	11	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004358	Signal transduction histidine kinase-related protein, C-terminal	842	804	902	868	936	217	338	0	750	692	753	756	612	766	748	870	751	526	369	362	253	378	355	340	348	233	266	32	314	262	112	260	205	287	126	121	210
IPR004360	Glyoxalase/fosfomycin resistance/dioxygenase domain	87	107	98	97	96	23	10	0	110	92	107	88	70	53	71	73	64	43	16	10	6	18	28	17	21	13	19	5	10	9	1	14	8	4	6	4	3
IPR004364	Aminoacyl-tRNA synthetase, class II (D/K/N)	1603	1671	1749	1657	1652	382	413	1	1685	1580	1700	1555	1359	1740	1568	1758	1691	1125	595	569	415	663	622	715	668	608	617	105	556	406	107	726	558	519	189	223	226
IPR004365	OB-fold nucleic acid binding domain, AA-tRNA synthetase-type	84	92	99	101	82	23	39	0	112	108	114	106	101	129	108	114	94	89	51	56	33	63	59	55	61	37	52	11	47	39	15	54	31	51	20	17	30
IPR004368	Translation initiation factor IF-1	36	49	53	63	64	10	4	0	72	54	59	54	44	57	43	65	48	32	15	15	2	21	11	16	19	9	9	1	11	10	3	5	8	2	4	2	8
IPR004370	4-oxalocrotonate tautomerase	14	15	22	16	17	2	1	0	22	19	31	21	16	8	11	11	8	9	5	6	1	5	9	3	10	18	29	4	2	1	0	2	2	1	0	0	0
IPR004375	YhcH/YjgK/YiaL family	299	292	345	338	308	79	33	1	272	265	285	247	211	267	251	263	272	173	42	35	21	55	46	56	57	29	23	4	60	35	5	91	67	50	11	10	21
IPR004381	Glycerate kinase	522	443	526	519	504	101	109	0	300	290	341	356	266	330	308	337	353	258	120	128	92	139	149	177	175	139	122	23	104	50	27	31	17	91	46	64	55
IPR004385	Nucleoside diphosphate pyrophosphatase	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004386	Toxin-antitoxin system, YafQ-like toxin	91	95	103	104	91	24	20	0	70	60	63	75	59	152	152	135	133	83	24	18	21	38	32	39	32	20	15	0	69	3	0	7	7	10	7	7	0
IPR004394	Protein Iojap/ribosomal silencing factor RsfS	5	4	2	1	6	0	2	0	3	5	0	2	1	5	1	6	1	0	2	0	3	2	1	0	1	4	2	1	4	0	0	0	2	0	1	0	2
IPR004401	Nucleoid-associated protein YbaB/EbfC family	147	134	118	118	123	23	26	0	101	112	124	113	104	44	51	51	63	29	39	39	38	66	61	75	71	38	43	9	51	11	1	16	11	11	13	10	5
IPR004409	Biotin operon repressor, helix-turn-helix domain	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004431	3-isopropylmalate dehydratase, small subunit	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004435	Molybdopterin-guanine dinucleotide biosynthesis protein B (MobB) domain	13	22	21	17	17	2	10	0	8	3	6	7	13	13	7	21	10	13	3	5	5	2	8	2	3	9	6	1	13	2	0	1	2	0	7	1	1
IPR004436	Isocitrate dehydrogenase NADP-dependent, monomeric	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR004437	ParB/RepB/Spo0J partition protein family	39	34	20	19	25	5	12	0	14	28	26	16	11	18	25	25	24	6	14	20	9	16	8	11	22	20	21	1	8	13	4	13	6	5	4	4	9
IPR004443	YjeF N-terminal domain	240	246	255	262	284	65	91	0	318	296	291	313	251	229	206	230	213	156	80	97	51	119	134	134	131	174	167	24	81	51	26	66	40	103	34	36	98
IPR004445	Sodium/glutamate symport carrier protein GltS	122	130	125	121	133	37	52	0	116	108	150	133	104	75	72	85	74	54	51	49	49	87	70	90	74	41	44	2	83	18	4	23	20	18	27	40	9
IPR004456	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	213	226	251	231	257	57	52	0	221	196	214	202	170	256	229	247	243	157	50	61	35	65	86	74	66	28	22	6	25	46	21	9	10	54	19	17	44
IPR004461	CO dehydrogenase/acetyl-CoA synthase complex beta subunit	25	15	34	17	10	4	1	0	11	13	8	9	3	2	5	2	2	0	8	13	3	17	12	10	10	7	10	1	17	0	0	0	0	0	6	2	0
IPR004462	Desulfoferrodoxin Dfx	11	16	16	15	11	5	3	0	13	8	13	15	12	4	2	5	13	2	13	16	10	14	6	7	9	9	11	3	9	1	1	3	0	4	0	0	0
IPR004463	UDP-3-O-acyl N-acetylglucosamine deacetylase	356	412	439	413	441	99	103	0	289	333	334	329	269	439	475	539	491	338	53	77	39	130	133	140	127	257	246	42	41	75	25	209	145	112	16	13	32
IPR004464	Fructose-1,6-bisphosphatase class 2/Sedoheputulose-1,7-bisphosphatase	122	90	125	94	134	25	3	0	94	98	105	81	102	42	30	32	45	29	17	13	13	46	33	35	57	91	89	20	10	8	2	6	5	0	7	5	5
IPR004465	Ribonucleotide reductase Class Ib, NrdI	10	8	4	8	7	2	0	0	64	60	54	53	48	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	1	1	1	0	1	7	0	0	0
IPR004474	Cell envelope-related transcriptional attenuator domain	54	70	67	75	81	7	22	0	114	114	137	124	88	48	33	57	36	26	47	43	40	86	105	78	89	40	40	9	90	8	5	17	15	21	20	22	10
IPR004477	ComEC/Rec2-related protein	261	283	283	267	271	69	99	0	242	238	273	232	219	280	265	303	327	183	78	85	67	109	103	111	104	151	167	17	109	87	18	138	102	92	27	33	56
IPR004485	Cobalamin biosynthesis CobD/CbiB	186	184	183	242	196	48	73	0	245	233	273	241	221	207	182	214	195	130	124	112	83	110	99	109	103	55	60	12	88	30	33	76	59	53	32	25	50
IPR004509	Competence protein ComEA, helix-hairpin-helix domain	8	8	9	9	8	4	0	0	3	3	6	2	5	1	0	2	1	1	2	0	0	0	4	3	3	3	5	0	2	1	0	0	1	0	0	2	0
IPR004518	NTP pyrophosphohydrolase MazG, putative catalytic core	249	264	300	265	282	74	65	0	256	226	245	238	212	314	330	359	352	211	72	62	60	93	75	96	97	52	70	15	68	59	33	111	92	80	28	18	40
IPR004555	Glucose-6-phosphate dehydrogenase assembly protein OpcA	0	0	0	0	1	0	0	0	115	130	116	107	88	0	0	0	0	0	0	0	0	10	5	8	12	4	2	0	0	1	3	0	0	20	0	0	1
IPR004564	Outer membrane lipoprotein carrier protein LolA-like	72	77	77	62	74	13	6	0	51	34	58	40	46	59	56	59	65	37	16	22	5	10	3	5	12	7	7	1	1	3	5	2	2	15	3	2	0
IPR004565	Outer membrane lipoprotein LolB	11	9	19	9	7	2	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
IPR004567	Type II pantothenate kinase	9	5	7	3	12	2	1	0	5	5	7	4	7	4	5	6	8	8	2	5	3	1	3	7	1	6	7	0	4	1	1	1	1	0	0	0	3
IPR004568	Phosphopantetheine-protein transferase domain	1	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
