IPR	description	ERR4702550	ERR4702560	ERR4702551	ERR4702561	ERR4702552	ERR4702562	ERR4702553	ERR4702563	ERR4702554	ERR4702564	ERR4702555	ERR4702556	ERR4702557	ERR4702558	ERR4702559	ERZ1758440	ERZ1758441	ERZ1758442	ERZ1758444	ERZ1758445	ERZ1758437	ERZ1758447	ERZ1758438	ERZ1758448	ERZ1758439	ERZ1758449
IPR002071	Thermonuclease active site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	1	0	4	3	5	1	3
IPR002073	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	3	4	3	0	0	0	1	1	3	6	7	2	5	6	4	1	1	0	0	0	0	0	1	2	1	2
IPR002075	Nuclear transport factor 2	0	1	0	0	0	0	0	0	2	0	1	0	2	3	4	2	1	0	0	0	0	0	3	0	0	0
IPR002076	ELO family	2	11	1	0	0	2	0	2	0	4	2	2	20	35	4	0	5	0	0	0	0	0	0	0	2	0
IPR002077	Voltage-dependent calcium channel, alpha-1 subunit	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002078	RNA polymerase sigma factor 54 interaction domain	1223	2811	1053	19	25	6	34	764	1308	1546	1434	20	769	1199	2434	382	61	101	425	363	22	400	302	339	106	328
IPR002081	Cryptochrome/DNA photolyase class 1	23	76	17	4	0	1	1	106	20	186	12	0	67	94	77	37	10	8	14	14	3	16	32	10	17	27
IPR002082	Aspartate carbamoyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	9	8	19	23	1	25	22	23	12	36
IPR002083	MATH/TRAF domain	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0
IPR002084	Methionine repressor MetJ	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
IPR002087	Anti-proliferative protein	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
IPR002088	Protein prenyltransferase, alpha subunit	1	3	0	0	0	0	0	0	0	2	3	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0
IPR002090	Na+/H+ exchanger, isoform 6 (NHE6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IPR002092	DNA-directed RNA polymerase, phage-type	9	16	10	0	0	1	0	2	17	1	12	0	5	2	18	6	0	0	4	4	0	4	3	4	2	1
IPR002093	BRCA2 repeat	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
IPR002099	DNA mismatch repair protein family, N-terminal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	6	6	8	9	1	6	16	9	10	13
IPR002100	Transcription factor, MADS-box	0	5	0	0	0	0	0	0	0	0	0	0	2	2	3	4	0	0	0	0	0	0	2	0	0	0
IPR002102	Cellulosome anchoring protein, cohesin domain	49	9	55	0	1	0	4	4	44	11	74	0	2	0	12	10	0	0	77	58	0	79	11	41	1	18
IPR002104	Integrase, catalytic domain	1229	2633	1116	11	6	5	10	551	1483	1200	1497	7	600	906	2640	730	154	144	608	601	30	615	587	516	218	600
IPR002105	Dockerin type I repeat	83	22	83	0	0	0	0	14	110	19	118	1	1	3	30	15	1	0	49	49	0	58	18	32	2	23
IPR002108	Actin-depolymerising factor homology domain	0	2	2	5	1	0	4	0	0	3	0	2	5	1	1	0	1	0	0	0	0	0	0	0	0	0
IPR002109	Glutaredoxin	186	373	166	3	6	2	6	267	253	553	194	6	172	250	385	133	28	34	95	135	5	137	98	115	43	138
IPR002110	Ankyrin repeat	116	233	88	4	6	1	5	61	112	111	113	1	62	78	242	77	8	8	45	29	0	39	67	24	12	59
IPR002112	Transcription factor Jun	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002113	Adenine nucleotide translocator 1	0	1	1	0	1	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
IPR002114	Phosphotransferase system, HPr serine phosphorylation site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	5	0	3	1	2	0	4
IPR002115	Protein-tyrosine phosphatase, low molecular weight, mammalian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IPR002117	p53 tumour suppressor family	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002119	Histone H2A	2	8	1	2	1	0	0	5	4	6	1	2	12	17	3	0	4	0	0	0	0	0	1	0	1	0
IPR002121	HRDC domain	72	186	54	3	0	0	1	82	86	177	102	0	88	118	168	58	11	11	53	46	3	37	50	33	23	47
IPR002123	Phospholipid/glycerol acyltransferase	295	510	269	8	1	2	5	431	373	813	372	2	262	434	465	165	56	46	149	144	11	134	147	146	80	165
IPR002124	Cytochrome c oxidase, subunit Vb	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002125	Cytidine and deoxycytidylate deaminase domain	269	363	254	3	1	1	2	61	343	170	372	6	79	117	305	116	24	21	119	143	3	149	86	128	26	129
IPR002126	Cadherin-like	56	62	33	0	1	0	2	29	47	25	37	3	56	56	49	15	24	6	15	7	0	19	10	12	18	6
IPR002128	NADH:ubiquinone/plastoquinone oxidoreductase, chloroplast chain 5, C-terminal	1	6	4	0	1	0	0	1	8	0	9	0	0	0	3	3	0	0	2	3	1	4	1	4	0	2
IPR002129	Pyridoxal phosphate-dependent decarboxylase	89	88	61	2	0	0	1	28	60	56	96	0	66	107	79	23	9	8	19	17	1	20	13	14	10	20
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	405	792	367	4	6	4	8	350	459	621	479	11	287	475	733	135	38	36	136	137	2	140	110	124	51	136
IPR002133	S-adenosylmethionine synthetase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	8	8	26	25	2	33	24	26	12	33
IPR002136	Ribosomal protein L4/L1e	319	325	295	5	9	9	21	215	433	395	384	11	157	192	322	65	15	12	104	119	2	127	56	114	17	85
IPR002137	Beta-lactamase, class-D active site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
IPR002139	Ribokinase/fructokinase	6	10	6	0	0	0	0	3	7	14	3	0	19	29	6	14	7	4	14	14	4	14	13	13	9	22
IPR002140	Ribosome maturation protein Sdo1/SBDS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	3	0	1
IPR002142	Peptidase S49	213	495	229	2	4	4	6	351	229	630	276	5	185	421	393	109	26	24	82	81	5	83	93	78	30	65
IPR002145	Ribbon-helix-helix protein, CopG	137	168	118	1	2	1	1	108	134	196	142	0	132	187	187	96	28	23	78	84	3	100	71	66	36	88
IPR002146	ATP synthase, F0 complex, subunit b/b', bacterial/chloroplast	105	199	140	0	1	2	2	86	164	205	150	2	91	136	215	73	20	19	68	87	3	98	68	88	24	77
IPR002150	Ribosomal protein L31	144	145	152	4	7	4	10	95	203	204	170	6	75	127	147	55	11	9	91	94	3	103	45	103	13	75
IPR002151	Kinesin light chain	24	8	7	0	0	0	1	13	14	17	19	1	18	19	12	21	17	6	23	9	0	12	13	10	25	27
IPR002153	Transient receptor potential channel, canonical	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002155	Thiolase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	36	31	44	40	8	43	91	34	57	86
IPR002156	Ribonuclease H domain	231	732	257	0	1	0	1	198	336	350	348	0	121	203	634	108	16	18	130	137	2	148	85	143	17	90
IPR002157	Cobalamin (vitamin B12)-binding protein	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IPR002159	CD36 family	1	0	0	0	0	0	0	1	1	2	0	1	5	4	1	0	1	0	0	0	0	0	0	0	0	0
IPR002160	Proteinase inhibitor I3, Kunitz legume	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0
IPR002161	Pyridoxal 5'-phosphate synthase subunit PdxT/SNO	26	11	25	0	1	0	3	8	34	26	37	1	17	29	14	7	3	0	2	7	0	6	4	5	3	9
IPR002164	Nucleosome assembly protein (NAP)	0	0	0	0	0	1	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0	0	1	0
IPR002165	Plexin repeat	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002166	RNA dependent RNA polymerase, hepatitis C virus	0	0	2	2	0	0	1	0	5	0	2	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0
IPR002168	Lipase, GDXG, putative histidine active site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	1	2	0	0	0
IPR002169	Peptidase M9A/M9B, collagenase, bacterial	2	0	0	0	0	0	0	0	4	0	0	0	2	3	0	0	0	0	1	0	0	0	0	1	3	0
IPR002172	Low-density lipoprotein (LDL) receptor class A repeat	0	1	1	0	0	0	0	2	4	4	1	1	20	18	0	0	11	0	0	1	0	1	0	1	5	0
IPR002173	Carbohydrate/puine kinase, PfkB, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	6	1	12	19	12	16	7	19	13	21
IPR002176	Crossover junction endodeoxyribonuclease RuvC	257	253	293	0	2	1	2	170	343	333	342	1	105	193	238	65	9	13	109	114	1	122	47	107	15	88
IPR002177	DNA-binding protein Dps	19	40	14	0	1	0	0	4	22	12	25	1	17	19	24	42	5	9	17	20	2	19	30	12	9	27
IPR002178	PTS EIIA type-2 domain	128	182	93	4	3	1	3	155	128	221	139	1	99	145	165	36	9	13	43	34	12	40	34	34	16	52
IPR002180	Lumazine/riboflavin synthase	131	255	109	1	3	0	6	145	160	226	148	2	97	177	222	53	8	9	53	56	2	41	45	53	13	51
IPR002181	Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain	3	5	3	0	0	0	0	1	3	4	5	0	10	10	4	2	0	0	1	1	0	1	2	0	0	2
IPR002182	NB-ARC	3	7	4	0	0	0	0	0	8	1	7	0	1	4	13	17	2	1	7	3	0	5	14	1	6	3
IPR002184	7TM GPCR, serpentine receptor class b (Srb)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IPR002186	Neocarzinostatin family	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002187	Nitrogen regulatory protein PII	193	340	180	4	6	0	13	269	208	571	223	13	227	350	324	87	25	24	86	64	3	70	77	74	32	92
IPR002189	F-actin-capping protein subunit alpha	0	0	0	1	0	0	0	0	0	0	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
IPR002190	MAGE homology domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
IPR002191	Bacterial export protein family 3	36	146	29	0	0	0	0	17	25	37	36	0	42	37	166	47	7	11	24	23	0	24	39	16	13	29
IPR002192	Pyruvate phosphate dikinase, PEP/pyruvate-binding	709	724	606	7	8	3	15	358	843	709	772	9	333	531	676	88	27	21	153	153	2	171	76	147	33	127
IPR002194	Chaperonin TCP-1, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	1	0	6	1	1
IPR002195	Dihydroorotase, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	1	15	18	0	14	5	14	0	12
IPR002196	Glycoside hydrolase, family 24	41	117	67	0	1	1	0	89	54	152	71	0	31	66	127	65	10	1	39	40	1	61	64	46	13	8
IPR002197	DNA binding HTH domain,  Fis-type	428	1026	406	3	4	4	11	423	446	706	480	4	264	457	937	347	54	84	272	291	13	310	287	263	106	237
IPR002201	Glycosyl transferase, family 9	429	475	407	4	3	1	3	420	556	804	593	2	163	306	477	142	22	26	161	187	6	189	129	178	41	162
IPR002202	Hydroxymethylglutaryl-CoA reductase, class I/II	67	43	71	0	0	0	1	22	131	46	102	1	39	68	41	7	6	4	15	13	0	18	5	18	5	24
IPR002204	3-hydroxyisobutyrate dehydrogenase-related, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	0	8	7	0	7	21	7	4	11
IPR002205	DNA topoisomerase, type IIA, subunit A/C-terminal	960	1197	885	7	6	6	16	766	1214	1486	1279	7	660	1025	1185	157	32	39	221	232	3	267	135	249	42	173
IPR002207	Class I peroxidase	3	12	1	0	0	0	2	3	1	12	7	2	6	11	10	1	0	0	1	2	0	0	1	1	0	1
IPR002208	SecY/SEC61-alpha family	683	719	631	5	10	6	17	391	814	940	842	15	284	434	702	100	22	18	187	209	3	214	86	207	23	140
IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase	2	15	8	0	0	0	0	4	5	9	5	0	17	9	11	9	7	1	2	5	0	3	9	1	7	11
IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	0	2	1	0	0	0	1	1	0	1	0	0	1	3	2	0	2	0	0	0	0	0	0	0	1	0
IPR002220	DapA-like	354	703	377	4	9	4	7	373	445	651	442	15	301	461	629	115	27	27	120	106	8	126	100	98	37	110
IPR002222	Ribosomal protein S19/S15	212	213	191	2	4	1	13	125	267	286	221	12	81	115	218	54	12	12	84	108	2	111	51	97	19	77
IPR002223	Pancreatic trypsin inhibitor Kunitz domain	0	0	0	0	0	0	0	5	0	8	2	0	14	15	0	0	3	0	0	0	0	0	0	0	1	0
IPR002225	3-beta hydroxysteroid dehydrogenase/isomerase	124	113	91	0	2	1	0	53	106	85	127	0	80	114	121	7	4	7	13	10	0	21	5	11	5	18
IPR002226	Catalase haem-binding site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	4	2	0	0
IPR002227	Tyrosinase copper-binding domain	6	4	7	0	0	0	0	4	13	19	8	1	3	7	6	3	1	1	7	3	0	7	4	7	3	7
IPR002229	Blood group Rhesus C/E/D polypeptide	3	51	6	0	1	0	1	7	9	24	6	3	6	4	52	4	3	3	9	6	0	5	6	7	3	5
IPR002241	Glycoside hydrolase, family 27	4	2	4	0	0	0	0	0	9	16	8	1	4	5	1	0	0	0	1	0	1	0	0	0	0	3
IPR002252	Glycoside hydrolase family 36	16	38	11	1	0	1	0	21	7	50	10	0	72	133	32	10	6	2	1	0	4	0	7	0	5	4
IPR002257	Flavin monooxygenase (FMO) 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
IPR002259	Equilibrative nucleoside transporter	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0
IPR002288	DNA gyrase B subunit, C-terminal	203	301	202	3	4	2	2	167	261	334	253	2	145	221	297	95	21	16	123	121	3	129	85	118	31	112
IPR002292	Ornithine/putrescine carbamoyltransferase	51	102	43	0	0	0	2	70	62	158	65	3	45	75	107	48	8	13	41	42	2	45	36	44	15	47
IPR002293	Amino acid/polyamine transporter I	249	257	226	9	6	2	3	104	309	158	278	4	105	159	230	152	38	34	129	97	14	133	101	101	44	116
IPR002295	N6 adenine-specific DNA methyltransferase, D21 class	170	156	167	0	2	0	1	129	203	194	225	2	55	135	139	73	8	8	66	75	1	86	61	83	10	68
IPR002297	DNA-directed DNA-polymerase, family A, mitochondria	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IPR002298	DNA polymerase A	435	436	405	3	2	4	5	227	547	391	540	3	178	254	436	105	11	15	179	193	4	216	94	210	16	103
IPR002299	Porin, Neisseria sp. type	3	1	1	0	0	0	0	0	3	4	0	2	0	2	5	16	1	5	3	7	2	7	13	4	7	10
IPR002300	Aminoacyl-tRNA synthetase, class Ia	2620	2738	2618	24	14	12	17	1653	3474	3125	3394	23	1114	1834	2555	356	66	60	698	739	10	783	291	783	75	496
IPR002301	Isoleucine-tRNA ligase	31	47	28	1	0	0	0	37	52	50	46	1	12	32	38	56	10	10	90	98	3	109	45	90	16	77
IPR002302	Leucine-tRNA ligase	317	307	305	2	3	1	4	168	390	382	395	3	143	219	272	92	15	16	159	153	4	160	74	145	15	93
IPR002303	Valine-tRNA ligase	67	68	53	0	0	0	0	36	80	62	89	0	28	43	63	64	15	14	108	114	2	120	54	109	20	85
IPR002305	Aminoacyl-tRNA synthetase, class Ic	1006	1103	957	1	7	8	6	624	1401	1278	1291	9	426	723	963	143	29	29	296	318	7	321	130	337	47	238
IPR002306	Tryptophan-tRNA ligase	83	62	88	0	1	0	0	48	108	105	142	0	38	65	55	60	12	12	110	132	4	121	53	130	20	91
IPR002307	Tyrosine-tRNA ligase	129	131	116	0	3	0	1	66	165	185	163	0	51	89	132	62	15	14	111	126	3	114	64	134	23	91
IPR002310	Glycine-tRNA ligase, alpha subunit	154	479	137	1	3	0	1	287	136	575	178	5	242	399	509	49	15	9	26	29	2	26	40	24	19	32
IPR002312	Aspartyl/Asparaginyl-tRNA synthetase, class IIb	162	155	156	1	1	0	2	106	267	240	208	2	61	125	162	78	19	20	144	148	4	137	58	143	22	114
IPR002313	Lysine-tRNA ligase, class II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	3	4	22	26	2	20	16	15	6	18
IPR002314	Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)	775	885	672	0	5	2	9	470	1037	960	1038	4	299	500	805	224	41	45	434	458	6	468	189	481	58	311
IPR002315	Glycyl-tRNA synthetase	161	43	141	1	0	5	0	15	252	48	195	1	5	6	38	32	2	6	96	106	1	113	17	119	1	67
IPR002316	Proline-tRNA ligase, class IIa	101	150	114	0	0	0	0	96	117	188	138	2	33	69	159	48	10	7	87	91	1	102	44	70	14	57
IPR002317	Serine-tRNA ligase, type1	228	240	209	0	1	1	1	147	346	314	362	2	103	155	235	66	12	12	110	113	2	115	48	135	16	88
IPR002318	Alanine-tRNA ligase, class IIc	182	175	142	2	2	1	1	92	217	231	232	0	66	141	190	60	12	14	102	107	2	116	55	94	15	87
IPR002319	Phenylalanyl-tRNA synthetase	559	485	480	5	3	3	8	296	749	583	679	9	242	331	493	78	11	12	165	144	2	169	62	164	19	106
IPR002320	Threonine-tRNA ligase, class IIa	237	243	178	0	0	2	3	105	279	217	281	1	87	143	217	76	13	16	134	153	2	142	62	148	20	111
IPR002321	Cytochrome c, class II	36	74	32	0	7	0	3	15	45	25	43	3	44	38	61	29	4	5	24	14	1	29	28	15	9	13
IPR002322	Cytochrome c, class III	0	0	1	0	0	0	0	0	4	1	3	0	0	0	0	0	0	0	1	1	0	4	1	1	0	1
IPR002323	Cytochrome c, class IE	16	15	6	1	0	0	0	23	9	46	8	0	1	15	23	12	1	2	8	6	1	10	14	7	8	5
IPR002324	Cytochrome c, class ID	23	106	27	5	2	2	3	61	26	109	24	10	7	29	145	24	2	6	27	21	2	26	26	23	5	13
IPR002325	Cytochrome f	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IPR002326	Cytochrome c1	53	236	48	0	1	3	2	83	34	215	51	0	152	230	200	47	11	10	22	27	0	23	49	15	16	34
IPR002327	Cytochrome c, class IA/ IB	20	128	15	1	2	2	3	71	18	149	20	0	141	218	120	66	26	11	14	10	1	16	57	6	33	46
IPR002328	Alcohol dehydrogenase, zinc-type, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	6	0	13	12	0	12	15	14	5	45
IPR002331	Pancreatic lipase	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002332	Nitrogen regulatory protein P-II, urydylation site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	4	2	7	0	5	7	3	1	9
IPR002343	Paraneoplastic encephalomyelitis antigen	0	3	0	0	0	0	1	0	1	0	0	1	3	3	2	0	1	0	0	0	0	0	0	0	0	0
IPR002346	Molybdopterin dehydrogenase, FAD-binding	249	181	202	0	3	1	8	285	225	511	253	4	104	201	205	60	20	16	88	60	0	94	40	47	29	55
IPR002347	Short-chain dehydrogenase/reductase SDR	2749	4466	2352	61	50	20	74	2819	2665	5461	2946	47	2423	4135	4252	1371	332	271	1083	905	60	1104	1086	721	488	1115
IPR002350	Kazal domain	15	2	11	0	0	0	1	3	20	8	11	3	2	5	3	1	0	1	2	1	0	0	3	6	0	2
IPR002354	Interleukin-4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002355	Multicopper oxidase, copper-binding site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	3	0	20	10	0	17	11	13	0	9
IPR002358	Ribosomal protein L6, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	28	20	0	12	4	20	0	11
IPR002361	Antenna complex, alpha subunit conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IPR002362	Antenna complex, beta subunit	3	19	1	0	0	0	0	1	0	7	0	0	19	10	18	15	6	5	4	0	0	4	7	3	7	6
IPR002363	Ribosomal protein L10, eubacterial, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	3	5	0	6	2	3	1	2
IPR002364	Quinone oxidoreductase/zeta-crystallin, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	2	1	0	6	2	1	2	4
IPR002365	Terpene synthase, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	2	0	1	2	2	0	0
IPR002366	Defensin propeptide	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002368	Outer membrane protein, OmpA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	2	1	0	1
IPR002369	Integrin beta subunit, VWA domain	2	0	1	0	0	0	0	0	0	2	5	1	3	5	1	0	0	0	1	1	0	0	0	0	0	0
IPR002371	Flagellar hook-associated protein 1	3	70	4	0	0	0	0	2	8	10	7	1	0	1	82	36	5	3	16	18	0	17	24	19	9	22
IPR002372	Pyrrolo-quinoline quinone repeat	474	458	408	3	9	8	12	289	386	500	571	6	318	496	425	132	72	88	260	210	5	250	98	115	89	159
IPR002376	Formyl transferase, N-terminal	490	702	427	6	4	4	3	342	566	783	614	4	305	488	657	156	29	38	198	231	9	215	125	216	56	174
IPR002379	V-ATPase proteolipid subunit C-like domain	125	148	100	2	2	5	7	80	185	159	162	11	36	85	136	54	9	14	86	94	3	96	51	101	21	75
IPR002381	Ribonuclease PH, bacterial-type	8	46	13	0	0	0	1	22	20	44	19	0	9	26	34	40	9	12	23	30	1	31	37	22	15	41
IPR002386	Amicyanin/Pseudoazurin	4	6	0	0	0	0	0	1	11	4	7	1	0	1	7	10	0	1	8	9	0	6	8	11	2	6
IPR002387	Plastocyanin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
IPR002388	Annexin A1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IPR002389	Annexin A2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002394	Nicotinic acetylcholine receptor	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	1	0	0	0	0	0	0	0	0	0
IPR002395	HMW kininogen	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0
IPR002397	Cytochrome P450, B-class	80	161	59	1	4	0	3	51	48	110	77	2	97	158	154	108	12	28	38	26	0	35	64	9	22	108
IPR002401	Cytochrome P450, E-class, group I	26	29	19	0	2	0	1	7	10	16	19	0	30	37	22	14	9	5	12	11	0	11	7	9	9	13
IPR002402	Cytochrome P450, E-class, group II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
IPR002403	Cytochrome P450, E-class, group IV	6	12	6	0	0	0	0	12	5	18	8	0	33	41	11	13	9	8	3	1	0	2	8	0	4	15
IPR002404	IRS-type PTB domain	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002410	Peptidase S33	19	45	19	0	0	0	0	5	22	17	24	0	39	38	54	33	6	7	17	27	0	27	23	16	18	35
IPR002413	Venom allergen 5-like	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	1	1	0	2	1	0	2	1	1	1	2
IPR002415	H/ACA ribonucleoprotein complex, subunit Nhp2, eukaryote	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IPR002416	Type II secretion system protein H	85	115	88	4	5	0	7	37	158	127	130	5	10	38	126	31	5	5	49	52	1	54	33	61	11	42
IPR002420	Phosphatidylinositol 3-kinase, C2 domain	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
IPR002423	Chaperonin Cpn60/TCP-1 family	722	602	610	25	96	15	137	355	870	796	883	100	212	392	509	109	34	26	264	272	13	263	84	259	34	153
IPR002429	Cytochrome c oxidase subunit II-like C-terminal	100	162	94	2	0	2	7	124	90	231	94	2	124	184	201	63	14	15	63	35	3	54	48	34	17	52
IPR002433	Ornithine decarboxylase	30	73	35	0	3	0	0	15	31	33	31	2	18	44	83	15	7	5	16	16	1	21	16	22	7	25
IPR002446	Lipocalin, bacterial	5	34	6	2	0	0	0	0	4	3	6	0	2	0	28	18	1	2	5	5	2	8	14	7	5	2
IPR002452	Alpha tubulin	1	6	2	1	4	2	6	2	3	8	3	23	10	12	3	2	2	0	0	0	0	0	1	0	3	1
IPR002453	Beta tubulin	2	8	0	0	3	1	4	4	1	6	5	19	7	7	1	0	1	0	0	0	0	0	1	0	3	0
IPR002460	Alpha-synuclein	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002464	DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	2	0	3	2	1	2	6
IPR002466	Adenosine deaminase/editase	0	0	0	0	0	0	0	0	1	1	1	0	5	2	0	0	1	0	0	0	0	0	0	0	0	0
IPR002467	Peptidase M24A, methionine aminopeptidase, subfamily 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	11	11	76	83	1	77	38	75	14	57
IPR002468	Peptidase M24A, methionine aminopeptidase, subfamily 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1
IPR002469	Dipeptidylpeptidase IV, N-terminal domain	86	65	80	5	3	3	4	43	82	56	95	1	24	35	55	18	6	10	32	16	2	21	13	15	7	16
IPR002470	Peptidase S9A, prolyl oligopeptidase	70	89	59	1	2	2	1	48	77	98	72	2	184	304	87	55	19	18	37	27	2	39	25	30	24	44
IPR002471	Peptidase S9, serine active site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	7	2	1	8	6	1	0	2
IPR002472	Palmitoyl protein thioesterase	0	2	3	0	0	0	0	0	3	2	5	0	6	2	6	4	1	0	6	8	0	7	1	2	2	3
IPR002474	Carbamoyl-phosphate synthase small subunit, N-terminal domain	181	275	158	0	5	0	1	134	209	266	215	4	137	200	283	57	11	12	45	47	2	36	37	52	16	57
IPR002477	Peptidoglycan binding-like	357	226	356	1	2	0	3	59	518	171	470	1	157	201	254	143	28	11	260	316	1	321	146	323	41	154
